0,임윤아 마음 천배 이해...
1,볼만함
2,수리남을 본 진후라....이젠 애잔하기 까지한 북한말 연기..
3,연기만 좋았고 편집이 엉망.. 잘만하면 재밌었을텐데.. 내 사라진 시간…
4,점수도 낮고 재미 없다기에 기대없이봤는데 생각보다 너무 재밌었어요. 가끔 말도안된다는 부분도 있지만 전체적으로봤을땐 너무 재밌었어요
5,좋은영화. 시간이 지나서 다시 보고싶어요
6,"현빈, 다니엘헤니 끝없이 멋짐 폭발~유해진, 진선규의 실감나는 연기 감동윤아는 감초 역할 사랑스럽고 빵빵 터짐강추합니다 ♡♡"
9,"여자는 시체 아니면 성매매, 포르노 요소로 쓰는거 ㅈㄴ 진부하고 빻음."
10,가볍게 생각없이 웃고 보기 좋은 유쾌한 영화 액션도 멋있었고 연기도 좋았어요
11,"일단 서사가 ㅈ박았다 그냥 서사가 쓰레기나 다름없다 차라리 없는게 나을정도다먼저 번개를 상징하는 무기인 스톰,번개,묠니르중 발키리기 대체왜 번개를쓰는지도 모르겠고 묠니르의 고결성은 어디다 팔아먹었는지 진짜 보는내내 욕만나왔다 이번 작품은 그간있어왔던 토르라는 캐릭터와 시리즈에 치욕을 주다못해 관짝에넣고 못질을 한거같은 쓰레기다 ㅈ도아무런 쓸모없는 애새기들, 더러운 발키리 게이레즈 pc ㅈ도알량한 개똥철학 감성팔이에 상황에 맞지않는 노래와 날이갈수록 퇴화하는 cg '번개'의신으로 각성했지만 정작 스톰브레이커없으면 번개못쓰고 고르한테 처맞는 '스톰브레이커'의 신 토르전작에대한 감상이 1이라도 남아있었으면 이영화는 폐기하는게 맞다오로지 남은건 이 ㅈ망한영화를 어떻게라도 살려보려고 발악하는 크리스찬베일뿐 그의 숭고한희생과 피,땀,눈물 고뇌를 조금이라도 해아려보는게이영화에 남은 전부다"
12,노래 진짜 좋고 완전 재밌습니다.
13,부담없이 보기 좋고 배우들 비주얼이 훌륭합니다.
14,진짜 웃겨 죽는 줄 다들 보세요 끝물에 봐서 기대안했는데웃겨서 죽는둘알앗음 진짜 웃겨OO그리고 이이이경 슬픈 농담곰 닮으음ㅠ.ㅠ
15,재미없고 지루함 작위적인 웃음강요 노잼 그냥 보다가 중간에 나온 영화는 살다가 처음
16,나쁘진 않았지만 스토리라인이 이전과 별로 달라진 점이 없음
17,진짜 웬만해선 영화 끝까지 보는데 정말 최악의 영화였다
18,끝까지 막 돌려보고 했는데 먼소리인지 하나도 모르겠다...
19,진짜 최고의 영화입니다
20,"나는 충분히 재밌었는데 , 사람들이 왜캐 ㅋㅋ 평점을 낮게주지 . ㅋㅋ 이런영화가그렇게 불호가 있나"
21,"1편에서 죽은 매버릭 동료의 아들과 같이 적진 포격임무를 수행하면서 훈련 중 갈등과 결국에는 매버릭과 그 아들이 작전에 성공하면서 서로 목숨을 구해주고, 동기들과의 경쟁에서 탈락한 악역이 마지막에 주인공들의 목슴을 구하는 장면, 3세대 구형전투기로 적의 신형전투기를 속속 무찌르는 장면 등등 30년 전 감성과 신파극이지만 톰크루즈의 화려한 액션과 현 시대의 영상미만으로도 10점을 받을만 하다."
22,박세완 완전 이쁘다.
23,"혜리슨 포드는 전에 kbs joy방송에서 봤는데 영화뿐 만 아니라 현실에서도 여러번 위험속에서,,사람들을 구했다 하네요 정말 난 차 달 남에서 그 영상 보고 정말 놀라왔습니다 정말 멋 있는 분 입니다"
25,1차 대전의 줄거리. 잉글랜드 캡틴같은 영웅담. 그로 킹스맨의 탄생. 영국 중심의 제국주의 정치적인 배경이기 껄끄러우나 그냥 오락영화로 보자~
26,명절에 보기 딱좋은 한국식 영화
27,혼자보기는 좀 민망해요계속웃음터져서
28,두시간 내내 입틀막하면서 봤어요지루할틈이없습니다^^여자분들 무조건 보러가세요 제발
29,액션 연출이 좋았음 스토리는 뻔하지만 연출을 잘해서 추천
31,감독님디테일 최고 연기최고
32,실제 같은 총격 액션씬은 볼만 했으나 약간은 지루하고도 긴 도입부..
33,씁쓸하고 슬프지만 꼭 보기를 추천합니다.
34,리얼리티가 진심 다큐보다 현실적임
35,개봉당시봤을때도 넘잼있게 봤고 이런장르좋아해서 다시봤는데도 넘잼있음. 그후에비슷한 스토리 영화가 넘 많이나왔으니13년전 영화라고 생각하고보면 진짜 대단하다가 생각함
36,처음엔 좀 복잡해서 힘들었는데 생각보다 아주 재미있게 봤어요. 2부가 기다려 집니다
37,기대보다 훨씬 재미있었어요
38,이야 짬뽕요리 제대로네.
39,네 번 이상 봤습니다. 그럴만한 가치가 있는 영화입니다.
41,3d지만 놀랍도록 원작 만화 2d 느낌을 잘 구현했습니다. 브로리 때보다 스토라도 풍성하고 액션 연출은 명불허전이네요. 드래곤볼 팬이라면 감동을 느끼는 포인트도 있고 아주 좋았습니다.
42,그냥
