"num,position,name"
"0,Additional Screenplay Material,빌 구텐타그 (Bill Guttentag)"
"1,Administrateur General,루이스 그라우 (Louis Grau)"
"2,Assisted,로저 볼퍼 (Roger Volper)"
"3,Brenda Starr Originally Created,데일 메식 (Dale Messick)"
"4,Cocktail Album Sv,캐롤 차일드 (Carole Child)"
"5,Costumi,마리아 테레사 스텔라 (Maria Teresa Stella)"
"6,Created,대런 스타 (Darren Star)"
"7,Creative Consultant,데니스 제이콥 (Dennis Jakob)"
"8,Creative Consultant,케리 헤이슨 (Kerry Heysen)"
"9,Delegate PD,찰스 오헤이온 (Charles Ohayon)"
"10,Delegate PD,프란신 포레스트 (Francine Forest)"
"11,Developed,가브리엘라 브리머 (Gabriela Brimmer)"
"12,Direction De Production,조지스 카사티 (Georges Casati)"
"13,Direttori Di Produzione,디노 디 살보 (Dino Di Salvo)"
"14,Direttori Di Produzione,마시모 크리스탈디 (Massimo Cristaldi)"
"15,Direttori Di Produzione,브루노 프라스카 (Bruno Frasca)"
"16,Direttori Di Produzione,에밀 볼랑 (Emil Bolanac)"
"17,Documentary Advisor,시몬 비젠탈 (Simon Wiesenthal)"
"18,Hair Designs For Liza Minnelli,시드니 귈라로프 (Sydney Guilaroff)"
"19,Japanese Episodes,오토 랭 (Otto Lang)"
"20,Japanese Episodes,쿠보 케이노스케 (Keinosuke Kubo)"
"21,Japanese Episodes,타카지 마사유키 (Masayuki Takagi)"
"22,Key Coordinating Animator,월트 스탠크필드 (Walt Stanchfield)"
"23,Les Coscodes De Voitures Ont Ete Reglees Et Executees Par,레미 줄리언 (Remy Julienne)"
"24,Producteur Delegue,다니엘 챔퍼그넌 (Daniel Champagnon)"
"25,Producteur Delegue,버나드 아티그즈 (Bernard Artigues)"
"26,Producteur Delegue,자크 나험 (Jacques Nahum)"
"27,Publicite,르네 샤토 (Rene Chateau)"
"28,Scene,에밀리오 보글리노 (Emilio Voglino)"
"29,Shading Sv,릭 세이어 (Rick Sayre)"
"30,Technical Advisor,닥터 데릭 브롬홀 (Dr. Derek Bromhall)"
"31,각본,R.J. 스튜어트 (R.J. Stewart)"
"32,각본,J. 마키에 그러버 (J. Mackye Gruber)"
"33,각본,D. 로리스톤 스콧 (D. Loriston Scott)"
"34,각본,D. 알베로 (D. Alvelo)"
"35,각본,F.O. 스푼먼 (F.O. Spoonman)"
"36,각본,S.S. 윌슨 (S.S. Wilson)"
"37,각본,J.W. 멜빌 (J.W. Melville)"
"38,각본,B.J. 넬슨 (B.J. Nelson)"
"39,각본,E. 막스 프라이어 (E. Max Frye)"
"40,각본,C. 커트니 조이너 (C. Courtney Joyner)"
"41,각본,W. 블레이크 헤론 (W. Blake Herron)"
