code,title,genre,directors,actors,running,story,,,,,,,,,,
213364,인생은 뷰티풀: 비타돌체,"공연실황,다큐멘터리","김선형,오윤동","김호중,원태연,이주호",1,언제나 화면 정 중앙에 비춰지며 스포트라이트를 한 몸에 받는 스타, ‘트바로티’ 김호중. 하지만 그가 담긴 ‘틀’의 바깥에는 구석지고 어두운, 그럼에도 불구하고 아름다운 또 다른 이야기가 있다.<br/><br/>김호중의 두 번째 극장 영화 <인생은 뷰티풀: 비타돌체>는 틀 바깥으로 잘려 버린 이야기, 사람들의 시선에 갇혀 보이지 않았던 청년 김호중의 이야기, 그리고 그것에서 벗어나려는 가수 김호중의 진솔한 목소리를 전한다.<br/><br/>공연 실황 다큐멘터리 <인생은 뷰티풀: 비타돌체>에서는 오직 이 영화만을 위해 무대를 꾸민 김호중 단독 공연을 최초 공개한다.  트로트 가수 김호중이라는 고정관념에서 벗어나 처음 음악에 대한 열정을 갖게 해 준 클래식 음악들로 구성되어 그의 웅장한 목소리를 생생하게 감상 할 수 있다.<br/><br/>여기에 꿈 많은 스무 살, 음악에 대한 동경으로 떠났던 이탈리아를 다시 찾는 김호중의 다큐 여행기와 버스킹 공연까지 모두 담아 김호중이 그동안 전하고 싶었던 이야기들, 불안하고 가슴 아프기도 했던 속내까지 그의 인생이 <인생은 뷰티풀: 비타돌체>에 모두 담긴다.<br/><br/>김호중이 들려주는 음악 이야기는 모두의 가슴에 깊은 여운과 감동을 선사할 것이다.,,,,
81888,탑건: 매버릭,액션,조셉 코신스키,"톰 크루즈, 마일즈 텔러, 제니퍼 코넬리",1,최고의 파일럿이자 전설적인 인물 매버릭(톰 크루즈)은 자신이 졸업한 훈련학교 교관으로 발탁된다.<br/>그의 명성을 모르던 팀원들은 매버릭의 지시를 무시하지만 실전을 방불케 하는 상공 훈련에서 눈으로 봐도 믿기 힘든 전설적인 조종 실력에 모두가 압도된다.<br/><br/>매버릭의 지휘아래 견고한 팀워크를 쌓아가던 팀원들에게 국경을 뛰어넘는 위험한 임무가 주어지자<br/>매버릭은 자신이 가르친 동료들과 함께 마지막이 될 지 모를 하늘 위 비행에 나서는데…,,,,,,,,,,
207524,코코순이,다큐멘터리,이석재,,1,1942년 5월+P4F4:T4E3F4:N4F4:S4, 조선군사령부의 제안으로 일명 파파상, 마마상 부부가 전국을 돌며 취업을 빌미로 부상 병사들을 돌볼 여성을 모집해 부산, 대만, 싱가포르를 거쳐 미얀마에 위치한 일본군‘위안부’ 수용소로 보낸다. 1944년 8월, 연합군과 중국군에 밀린 일본군과 붙잡힌 조선인 여성들은 연합국의 포로가 되어 통역도 없이 일어와 영어로 심문 받은 후 인도 각지로 흩어진다. 그리고 발견된 이들 조선인’위안부’ 20명에 대해 기록한 미 전시정보국 49번 심문보고서에는 “조선인’위안부’는 돈 벌이에 나선 매춘부”라는 것. 20명 중 행적을 알 수 있는 단 한 명, ‘코코순이’라는 이름의 단서를 추적해 왜곡된 기록 속에 감춰진 진실을 밝힌다!<br/><br/>우리는 역사를 기억해야 한다. 과거에도, 현재에도 저들은 거짓을 말하고 있다!,,,
213595,당신의 이웃은 친절하지 않다,"미스터리, 드라마, 범죄, 스릴러",안드로,"변동욱, 조혜진, 전지학",1,남쪽 끝 바닷가 마을.<br/>성당의 고해소에서 여자 신부가 권태로운 표정을 짓고 있다.<br/>신자들의 지루한 고백들만 이어지던 어느날,<br/>갑작스런 사망 사건을 시작으로 마을 전체가 죄악으로 물들기 시작한다.,,,,,,,,,
26271,정,드라마,배창호,"김유미, 김명곤, 윤유선",1,어느 화사한 봄날, 개나리가 피어있는 한적한 마을 어귀 신작로에 한 노파가 앉아있다. 버스를 타고 올 누군가를 기다리며 아스라한 지난 날을 회상한다.<br/>시골 혼인식. 마을은 축제 분위기에 흥분되어있고, 열 여섯의 어여쁜 순이(김유미 분)는 자뭇 긴장한 채로 칠보단장을 한 채 신랑에 대한 아련한 꿈을 갖고 초례청에 나간다. 그러나. 신랑은 겨우 열 살이 지났을까 싶은 어린 아이. 새색시의 꿈은 깨져버리고 어린 신랑의 철 없음과 시어머니의 혹독한 시집살이로 서럽고, 힘든 10년여를 지냈을까. 유학 갔던 신랑은 신 여성을 데리고 돌아온다. 그둘의 사이에 흐르는 기운이 심상치 않음을 느낀 순이. 어느 바람이 몹시 불던 날," 두 사람의 격력한 밀회를 목격한다. 억장이 무너지는 와중에도 순이는 두 남녀의 사랑이 애틋하게 느껴진다. 자신과 이혼하겠다는 남편에게 자신을 미워하는 줄 만 알았던 시어머니는 뜻밖의 말을 한다. ""아무 걱정할 것 없다. 아가... 이 집의 며느리는 너 하나여...""<br/>[스포일러] 순이는 시어머니이 따뜻한 마음을 가지고 집을 나온다. 몇 년이 지난 후 한껏 무르익은 여름날", 옹기를 팔러 순이의 집을 들른 덕순(김명곤 분)은 순이의 고운 모습과 단아한 모습에 반하고 만다. 상투는 틀었지만 총각이었던 덕순은 순이 생각으로 속을 태우다가 마침내 술기운을 빌어 그녀를 보쌈해버린다. 순이는 덕순이 만든 옹기에 자신의 얼굴이 그려진 것을 보고 그의 구애를 받아들인다. 산 속 옹기터에서 순이는 생애 처음으로 남녀간의 사랑을 알고, 행복한 나날을 보낸다. 돌아온 어느 여름날. 장터에 옹기를 팔러나갔던 덕순은 만취해 돌아오다가 소낙비로 갑자기 불어난 개울에 빠져 다음날 아침 싸늘한 주검으로 순이 앞에 나타난다. 순이에게 주려고 산 박가분을 손마디가 꺽일 만큼 꼭 쥐고...,,,,
213453,부적: 남의 운을 빼앗는 자,"액션, 드라마",김세성,"주영호, 권해성, 천민희",1,번번이 오디션에 탈락하는 무명배우 기삼. <br/>자신과 반대로 모든 일에 승승장구하며 할리우드 진출까지 앞둔 스타 운철이 부럽기만 하다. 그러던 어느 날, 기삼은 운을 빼앗을 수 있는 신비한 부적의 존재를 알게 되고, 운철의 모든 행운 역시 자신의 운을 빼앗아 간 부적의 효과임을 알게 되는데… <br/><br/>운을 빼앗은 놈 <br/>그리고, 운을 빼앗긴 놈 <br/><br/>성공하고 싶은 자, 부적을 손에 넣어라!,,,,,,
213415,시맨틱 에러: 더 무비,멜로/로맨스,김수정,"박서함, 박재찬",1,컴공과 '아싸' 추상우의 완벽하게 짜인 일상에 에러처럼 나타난 안하무인 디자인과 '인싸' 장재영,<br/>극과 극 청춘들의 캠퍼스 로맨스가 스크린으로 펼쳐진다!,,,,,,,,,
217719,명탐정 코난: 할로윈의 신부,애니메이션,미츠나카 스스무,,1,극악무도한 폭파범 ‘플라먀’에 의해 교묘한 함정에 빠진 아무로 토오루!<br/>모든 것이 베일에 가려진 ‘플라먀’,<br/>유일한 단서는 아무로 토오루가 그의 경찰 동기들과 마지막으로 함께 했던 하루.<br/>이와 동시에 결혼식의 신부가 된 경시청의 사토 형사는 불길한 예감을 감출 수 없는데…<br/><br/>도시 전체를 인질로 삼은 ‘플라먀’,<br/>그리고 이를 막으려 하는 아무로 토오루와 명탐정 코난의 숨 막히는 공조!<br/>다시 시작된 카운트다운, 할로윈의 밤이 광란으로 빛난다!,,,,,,,
179394,나는보리,"드라마, 가족",김진유,"김아송, 이린하, 곽진석",1,바닷마을에 사는 열한 살 소녀, 보리는 가족 중 유일하게 들을 수 있다.<br/>초등학생이 된 보리는 말로 하는 대화가 점점 더 익숙해지고 수어로 소통하는 가족들 사이에서 외로움을 느끼게 되는데… <br/>소리를 잃고 싶은 아이, 보리의 특별한 소원이 시작된다!,,,,,,,,
163788,알라딘,"모험, 가족, 판타지, 뮤지컬, 멜로/로맨스",가이 리치,"메나 마수드, 윌 스미스 , 나오미 스콧",1,머나먼 사막 속 신비의 아그라바 왕국의 시대.<br/>좀도둑 ‘알라딘’은 마법사 ‘자파’의 의뢰로 마법 램프를 찾아 나섰다가<br/>주인에게 세 가지 소원을 들어주는 지니를 만나게 되고,<br/>자스민 공주의 마음을 얻으려다 생각도 못했던 모험에 휘말리게 되는데…,,,,,,,,,
