year	code	title	genre	directors	actors	story
2012	70994	007 스카이폴	액션	샘 멘데스	다니엘 크레이그, 하비에르 바르뎀, 주디 덴치	상관 M의 지시에 따라 현장 요원 이브와 함께 임무를 수행하던 제임스 본드는 달리는 열차 위에서 적과 치열한 결투를 벌이다 M의 명령으로 이브가 쏜 총에 맞고 추락하여 실종된다. 이에 임무가 실패로 끝나자 전세계에서 테러단체에 잠입해 임무를 수행 중이던 비밀 요원들의 정보가 분실되고 MI6는 사상 최대의 위기에 빠진다.설상가상으로 M의 과거에 얽힌 비밀로 인해 미스터리한 적 ‘실바’에게 공격을 받은 MI6는 붕괴 위험에 처하게 되고, 이 사건으로 인해 M은 책임 추궁을 당하며 퇴출 위기에 놓인다. 이때, 죽음의 고비에서 부활한 제임스 본드가 M의 곁으로 다시 돌아온다. 절체절명의 위기에 놓인 MI6와 M을 구하기 위해 제임스 본드는 비밀스러운 여인 세버린을 통해 ‘실바’를 찾아간다. 그리고 마침내 사상 최강의 적 ‘실바’와 피할 수 없는 대결을 시작하게 되는데...
2012	100646	10일간의 원나잇 스탠드	멜로/로맨스, 드라마	다니엘 아르비드	샤를스 베르링, 다린 함제, 파디 아비 삼라	‘조하’는 레바논의 작은 라이브 카페에서 노래하는 가수다. 남편의 폭력에 시달리던 그녀는 남편과 이혼은 했지만 여전히 그의 감시와 폭행 속에 두려운 삶을 살아 가고 있다. 그러던 그녀는 어느 날, 프랑스 출신의 변호사 ‘마티유’를 만나게 되고 ‘마티유’의 사려 깊은 마음에 매력을 느끼게 된다. 하지만 둘 사이가 가까워 질수록 ‘조하’의 전남편은 질투심으로 두 사람을 더욱 압박하기 시작하고 ‘마티유’의 숨겨진 비밀이 밝혀지면서 ‘마티유’와 ‘조하’의 뜨거웠던 10일간의 애정행각은 파국으로 치닫기 시작하는데...
2012	80707	19곰 테드	코미디, 판타지	세스 맥팔레인	마크 월버그, 밀라 쿠니스, 세스 맥팔레인	어린 시절, 왕따에게도 왕따를 당하던 존(마크 월버그)의 소원을 통해 생명을 얻은 곰인형 테드(세스 맥팔레인)! 말하고 걷는 곰인형 테드는 전세계적인 스타가 된다. 그러나 세월에는 장사가 없는 법. 대중에게 잊혀진 스타 테드는 취미 음주가무, 특기 여자 꼬시기인 백수 한량으로 전락한다. 곰인형 외모에 어울리지 않는 음담패설과 욕설을 일삼는 발칙한 곰 테드와 27년째 그와 죽고 못사는 절친 존! 참다 못한 존의 여자친구 로리(밀라 쿠니스)는 남친의 미래를 위해 극약처방을 선택하는데…“테드, 내 남친 옆에서 좀 꺼져 줄래?”
2012	101216	2012 MBC 대학가요제		김준현	이적, 수지	기성 가수의 노래가 아닌 대학생들이 밤을 새워 고민해 만든 순수 창작곡으로 꾸며지는 세계 유일의 가요제! 1977년 시작해 36년 동안 수많은 음악인들을 배출한 음악인의 산실!국내를 넘어 세계로! 유튜브를 통해 선발 된 전 세계 대학생들의 참여로 더울 스케일이 커진 글로벌 대학생들의 축제의 무대!인종과 국가를 넘어 전 세계 청춘들이 함께하는 꿈과 열정의 무대가 제 36회 MBC 대학가요제에서 펼쳐집니다!!
2012	120023	2012 글로벌 다큐멘터리 대산호초	다큐멘터리	제임스 브리켈		코럴해의 산호초부터 해안의 뒤얽힌 맹그로브와 무더운 열대우림까지, 산처럼 거대한 섬들부터 수면 위로 간신히 솟아 있는 작은 산호초 섬들까지, 또 산호초 너머의 깊고 어두운 심연에서 얕은 바다의 화려한 산호 정원까지, 길이 2,000km에 이르는 대산호초를 새롭게 조명한다.
2012	119602	2012 글로벌 다큐멘터리 지구 대비행	다큐멘터리			새들과 함께 높은 하늘을 날며 동물들의 눈부신 이주 광경과 자연의 기적들을 바라보고, 육지와 바다에서 펼쳐지는 야생동물들의 생사가 걸린 드라마를 체험해 본다.  최신 장비와 정교한 기술의 결합을 통해, 하늘에서 세상을 바라보는 눈부시게 아름답고 놀라운 시리즈. 새들의 날개를 빌려 6개 대륙 위를 날며, 새들의 눈으로 위대한 자연의 장관을 체험해 본다.에피소드마다 하늘을 나는 새들의 시야를 통해 각 대륙을 탐험한다. 북미에서는 멕시코만에서 캐나다까지, 흰기러기와 흰머리수리의 힘겨운 여정이 펼쳐진다. 유럽에서는 회색 두루미가 카마르그의 질주하는 말들을 피하고, 흰뺨기러기는 런던에서 길을 잃는다. 남미에서는 콘도르와 화려한 마코 앵무새가 산속과 열대우림을 여행하고, 그 외의 에피소드들을 통해 아시아, 아프리카, 호주의 눈부신 풍경도 감상한다. 이 시리즈는 항공기 장착 카메라, 무인 정찰기, 초경량 항공기와 나란히 날도록 훈련된 새 등 다양한 장비들을 이용해, 지구에서 가장 눈부신 자연과 야생동물이 만들어내는 장관을 볼 수 있는 곳들로 우리를 데려가, 새처럼 나는 기분을 느끼게 해 준다.마지막으로 6번째 에피소드에서는 이 황홀한 시리즈가 만들어진 과정을 살펴보고, 새들과 제작진의 친밀한 관계도 엿볼 수 있다.
2012	119603	2012 글로벌다큐멘터리 공룡의 땅	다큐멘터리			공룡들의 치열한 생존법과 사냥법, 그리고 영원할 것으로 보였지만 뜻하지 않게 멸종의 순간을 맞았던 공룡의 비극적인 운명을 재조명하는 프로그램
2012	99159	2012 코이카의 꿈				열악한 환경의 지구촌 가족에게 MBC해외봉사단의 감동적인 활동 현장을 프로그램에 담아 세계의 평화와 번영에 기여하는 한국인의 '지구촌 사랑'과 '나눔'의 정신을 조명하고, MBC 해외봉사단(일반인 봉사단+연예인 봉사단+의료 봉사단)이 해외 5개국(네팔, 베트남, 엘살바도르, 팔레스타인, 탄자니아)에 파견되어 현지에서 나눔을 실천하며 활동하고 있는 KOICA(한국국제협력단/외교통상부 산하기구)봉사단과 함께 프로젝트 임무에 도전하고 완성하는 과정에서 봉사단과 현지인이 어울리며 엮어내는 땀ㆍ눈물ㆍ재미ㆍ희망의 감동과 의미를 담아 해외봉사의 의미와 감동을 전하는 특집 프로그램입니다.
2012	92913	21세기 가족	드라마	이민철	이덕화, 이훈, 오승현	2012년 대한민국 현재를 살아가고 있는 가족들의 리얼한 이야기를 시크하고 시니컬한 시선으로 스타일리시하게 그린 드라마.
2012	47384	26년	액션	조근현	진구, 한혜진, 임슬옹	광주 수호파 중간보스 곽진배, 국가대표 사격선수 심미진, 서대문소속 경찰 권정혁,5. 18 민주화운동 희생자 2세라는 공통 분모를 가진 세 사람이 한 자리에 모였다.그들을 불러 모은 보안업체 대기업 회장 김갑세와 그의 비서 김주안의 제안은 바로 ‘그 사람’을 타겟으로 한 극비 프로젝트!Stage 1. 1차 탐색 시작! 진배는 무력도발로 연희동을 자극시킨다.그러나 김갑세가 광주 시민들을 제압하던 계엄군이었고그의 총검에 아버지가 죽었다는 사실을 알게 되면서 팀은 균열이 생긴다. Stage 2. 미진의 단독 행동! 미진은 홀로 서대문 사거리에서 ‘그 사람’의 차량에 뛰어들어 사격을 가한다.마지막 한발, 성공의 순간 터져버린 총 때문에 부상당한 미진은 뒤늦게 달려온 진배의 도움으로 탈출하지만,정혁은 충격을 받고 사라진다.Stage 3. 시작된 작전! 일련의 사건으로 연희동의 사설 경호인력이 보강되고,주안은 ‘그 사람’의 비서실장인 탁실장을 대상으로 한 로비에 성공, ‘그 사람’과의 단독 면담 날짜를 잡는다. D-day 2006. 05. 18.드디어 그날! 저격 위치를 확보한 미진, 경찰 병력을 저지할 진배 일행,그리고 김갑세와 주안은 탁실장을 이용하여 검문을 통과하고 드디어 연희동 저택 안으로 들어간다. 한편, 서대문경찰서 최계장의 집요한 추적으로 암살 작전의 실체가 밝혀지고경호실장인 마상렬의 명령으로 연희동 안팎은 빠르게 진압된다.미진에게까지 포위망은 좁혀지고 사라졌던 정혁이 나타나 작전을 저지하는데... 일촉즉발의 상황, 그들의 거사는 과연 성공할 수 있을까?
