year	code	title	genre	directors	actors	story	
1991	21800	10대의 반항	드라마	차성민	김민종, 이은경	강일의 모든 관심과 꿈은 최고의 오토바이레이서가 되는 것이다. 그러나 지극히 모범생이고 똑똑한 형 때문에 버림받은 자식처럼 뒷골목을 떠돈다. 그는 우연히 부모가 외국에 있는 관계로 고아 아닌 고아가 된 희철을 만난다. 이들은 같은 처지라는 느낌 때문에 가까와지고 함께 살게 된다. 오직 좋은 오토바이를 마련하려는 욕심으로 독수리패와 어울리던 강일은 다른 패거리의 우두머리 하마의 여동생 장미와 가까와진다. 하마패는 계속 이들의 만남을 방해하고, 강일은 국내 최고의 오토바이레이서인 하마와 경주를 하기로 한다. 희철과 독수리패의 도움으로 간신히 오토바이를 마련한 강일은 결전의 날을 맞는다. 그러나 적수인 하마를 죽이려던 독수리패의 음모는 어이없게도 희철의 죽음을 부르고, 강일은 경주를 승리로 장식한다.
1991	21806	15년 3시간 전		이길주	안소희, 한의석, 한태일	렌트카운전수 동수는 순간적인 실수로 손님을 살해하고, 경찰의 추적을 피해 아내를 끌고 어느 섬으로 깊숙이 숨어버린다. 15년 공소시효가 지나기를 기다리려는 것이다. 이제 3 시간만 지나면 15년이 채워지는 날, 전문금고 털이 두식이 영숙과 함께 경찰의 추격을 피해 섬으로 숨어들어 동수가 사는 집으로 찾아온다. 동수의 처는 엄청난 돈을 가지고 사회로 나가 살 수 있는 기회라고 생각하여 동수와 짜고 두식을 살해한다. 그런데 두식은 15년전 이들이 버리고 온 아들이었으니. 뒤늦게 두식의 정체를 안 동수는 석유를 뿌리고 집을 불질러 자살하고, 동수의 처는 두식의 무덤에서 통분하다 미쳐버린다.
1991	11509	3인의 약혼녀	코미디	윌 맥켄지	마크 하몬	미남 총각 테일러 워드(마크 하몬 분)는 여성들에게서 폭발적인 인기를 끌고 있는 TV 기상 캐스터. 그와 그의 세 친구 네드, 에릭, 샘은 내기를 좋아한다. 테일러는 수많은 여자와 사귀지만 한 여인에게 정착을 못하는 독신자. 네드는 그의 이러한 버릇을 구쳐주기 위해 어느 날 내기를 건다. 세 명의 여인들에게서 결혼 승락을 얻어내야 하는 것이다. 급기야 테일러는 세 명의 여인들에게서 결혼 승락을 받아내는데 성공하고 승락 장면을 비디오 테잎에 담지만 윌스는 자신도 모르게 그중 베로니카(매들린 스토우 분)를 사랑하게 된다. 그러나 세 여인들은 우연히 비디오 테잎을 보게 되어 테일러의 청혼이 거짓이었음을 알게 된다. 베로니카는 테일러를 골탕먹이기 위해 그와의 결혼을 강행하지만 결혼 서약을 거부하여 테일러에게 큰 상처를 입힌다. 하지만 테일러 윌스는 참사랑을 알게되고 끝없는 노력으로 끝내 그녀와의 결혼에 골인한다.
1991	21200	B 타임의 정사	에로	이광섭	김혜원, 강태기	월간 여성지 기자인 미희는 연상여인과의 스캔들로 링을 떠난 창호가 구두닦이로 전락한 사연을 취재하려고 찾아가지만, 냉대만 받는다. 데스크의 독촉으로 다시 그를 찾아간 미희는 뜻밖에 창호와 원하지 않던 정사를 갖는다. 이후 창호는 그녀에게 구애를 하고, 미희는 유학가 있는 애인 기택을 생각하여 그와 이별한다. 그런데 기택으로부터 미국인 여성과 결혼했다는 편지를 받은 미희는 사표를 내고 새로운 인생을 살기로 결심한다. 그러나 창호가 암흑가의 세력다툼 속에 희생됐다는 소식을 들은 그녀는 선배를 찾아간다. 이미 유학을 떠난 선배 대신 소설가 재탁을 만난 미희는 순수하고 진실한 열정을 지닌 그와 뜨거운 밤을 보낸 후 미래에 대해 꿈을 설계한다.
1991	11087	F학점 첩보원	코미디, 액션	윌리엄 디어	리처드 그리에코, 린다 헌트, 로저 리스	1990년대의 디트로이트, 마이클 코번(Michael Corben: 리차드 그리에코 분)은 온 가족의 기대 속에서 졸업식을 거행하지만 유감스럽게도 불어 점수가 낙제라 졸업을 못 할 위기에 이른다. 유일한 방법은 방학 동안 써머 스쿨에서 공부를 하는 것인데 이번 불어 써머스쿨은 프랑스로 가서 현지 수업을 하는 것이고 결국 마이클도 불어 교사 그로버(Mrs. Grober: 로빈 바틀렛 분)의 인솔하에 친구들과 프랑스로 가게 되었다. 한편 임무를 띠고 활동 중이던 최고의 정보원 블레이드(Blade: 로저 달트리 분)가 프랑스 재무장관과 함께 살해된 채로 발견되자 난궁에 빠진 미국과 영국은 이들 집단의 다음 살해 목표가 EC의 새의장인 오거스투스 스트랜코(Augustus Steranko: 로저 리스 분)로 보고 이를 막기 위해 유능한 첩부원 한 명을 파견하였다. 이 첩보원은 5년간 신분을 위장한 채 미국내의 여러 곳에서 거점을 확보해 있는데 그의 모습, 인종, 나이 등 그의 신상에 대해서는 아무도 모르는데 단지 아는 것은 그의 암호명이 공교롭게도 마이클과 같은 이름인 마이클 코번이라는 것이다. 이 미국 첩보원 코번이 프랑스로 파견되었는데 이 정보를 알아낸 블레이드의 살해 집단이 공항에서 그를 살해한다. 한편 불어선생의 인솔하에 공항에 도착한 마이클 코번은 첩보원과 뒤바껴 예정에도 없는 1등석을 받고 경호원까지 따라붙는다. 이윽고 파리에 도착하자마자 마이클은 영국 정보부의 안내로 비밀 본부로 향한다. 겔란트(Vendetta Galante: 제랄딘 제임스 분)라는 여자로부터 첩보업무에 필요한 브리핑을 받고 투시 안경과, 씹다가 은박지와 결합하면 폭발하는 튜브 플라스빅 폭탄껌, 어떤 표면도 달라붙을 수 있는 흡착 장치 장착 운동화 등 각종 특수장비를 지급받아 아리둥절하지만, 멋진 스포츠카를 보고는 바로 응낙한다. 그러나 이 순간부터 마이클은 자신의 목숨을 노리는 무시무시한 외손잡이 킬러의 추적과, 정치불명의 미인 첩보원을 만나게 된다. 한편 그로버 선생과 유학 학생들을 용병으로 착간한 양 진영에선 첩보원들을 투입하여 이들인 탄 스쿨 버스의 운전 기사를 자꾸 바뀌는 헤프닝만 벌어진다. 카지노 호텔로 들어간 마이클은 그곳에서 오거스를 만나 첩보활동 자금으로 준 돈으로 ‘바카라’라는 도박 게임을 하는데, 사람 이름인 줄 알고 부른 ‘뱅코’가 돈의 절반을 거는 용어인 줄 알고 기겁한다. 하지만 응기응변이 능한 마이클은 투시 안경을 이용, 오거스의 돈을 모두 따게 되고 화가 난 오거스는 마이클을 제거하기 위해 자신의 창녀 알레올라(Areola Canasta: 캐롤 데이비스 분)를 투입시킨다. 하지만 올레올라는 마이클을 죽이려던 독이 있는 전갈이 자신의 옷 속으로 들어가 소동이 벌어지고, 이틈에 두 사람 모두 암살하라는 명령을 받은 지그프리드(Zigesfeld: 톰 랙 분)가 바주카포를 발사, 그 자리에서 즉사하고 만다. 이때 마이클은 자신의 주위를 맴돌던 미녀 첩보원 마리스카(Mariska: 가브리엘 엔워 분)를 알게 되는데, 그녀는 블레이드의 딸로서, 스트랜코가 암살범임을 마이클에게 알려준다. 한편 계속 기사가 바뀌던 스쿨버스는 결국 유럽을 장악하려는 스트랜코 조직의 내부로 들어가게 된다. 스트랜코의 본거지에 침투한 아마츄어 첩보원 마이클과 마리스카는 사로잡혀 감옥에 갇히지만 폭탄껌을 이용해 빠져나온 후 금을 녹이는 용광로 속으로 들어가는 선생과 친구들의 목숨을 구하고, 이곳에 있던 유럽 각료들을 구했으며, 마침내 사랑하는 애인과 불어점수도 얻게 된다.
1991	15064	LA 이야기		믹 잭슨	스티브 마틴, 빅토리아 테넌트, 리처드 E. 그랜트	LA에 사는 해리스(Harris K. Telemacher: 스티브 마틴 분)는 TV 기상 예보 담당자로 조금 웃기는데가 있지만 고속도로의 신비한 전광판이 그를 도와주는 것을 빼고는 그런대로 평범한 남자이며 여자친구 트루디(Trudi: 마리루 헨너 분)와 살고 있다. 해리스는 영국 저널리스트 사라(Sara McDowel: 빅토리아 테넌트 분)를 알게 되는데 그녀에게는 전남편 죠가 있고 해리스는 옷가게 점원 샌디(SanDeE: 사라 제시카 파커 분)를 사귀지만 서로에게 호감을 느낀다. 그러던 중, 투르디와 자기 대리인 프랭크(Frank Swan: 케빈 폴락 분)의 관계를 알게 되고 직장에서도 해고되자 해리스는 자기 인생의 여러가지 문제점에 직면하게 된다.
1991	16709	SAS 미망인의 눈		앤드류 V. 맥라글렌	F. 머레이 에이브러햄, 벤 크로스, 멜 페러	오스트리아의 프린스 마르코의 화려한 성에서는 18세기식 파티가 벌어지고 있는데 갑자기 중무장한 테러단의 기습으로 여러명이 사살되고 마르코가 아끼는 그의 성은 엉망이 되고만다. 충실한 부하 엘코마저 중상으로 입원하자 마르코는 CIA의 프랑켄하이머를 만나 자신의 성을 공격한 테러단이 찾는 서류에 관해 이야기를 듣고 그 서류를 갖고있는 미망인 샤니라를 찾아간다. 요트에 살고있는 부유한 미망인 샤니라는 처음에는 마르코를 경계하지만 테러단의 공격으로부터 그를 구해주자 오히려 적극적으로 그를 유혹한다. 하지만 사건해결을 위해 마르코를 돕기로한 샤니라는 다음날 사라져 버리고 보호를 약속하는 무기상 카룬과 결혼하기로 해버리는데 사실 그는 이 모든 음모의배후 인물로 샤니라의 전남편을 죽였고 마르코의 성을 공격했던 테러단에 치명적인 세균무기를 팔려고 하는 엄청난 계획을 가지고 있다. 마르코와 엘코등 그의 일행은 샤니라와 카룬의 약혼파티장에 숨어들어 샤니라에게 카룬의 실체를 알려주고 그녀를 구해오는 한편 그가 테러단에 넘기려는 세균? 위치를 담은 디스켓 또한 손에 넣는데 성공한다. 마르코 일행은 마침내 세균이 있는 배로 쳐들어 가는데.
1991	84252	SBS 인기가요		조효진, 김용권	김유정, 잭슨, 육성재	SBS 가요 순위 프로그램으로 인기 가수들의 최신 음악을 들을 수 있는 프로그램
1991	22131	X성을 가진 여자		장두희	김선영, 이성훈, 장두희	무용과 학생이었던 미선은 사업에 망해 돌아가신 아버지와 생활고를 참지못해 도망친 어머이로 인해 의지할 곳이라곤 사법고시를 준비하는 법대생 재민밖에 없다. 가난을 벗어나려고 결심한 미선은 재민에게 순결을 바치고 가수로서 성공을 하게된다. 그러다가 재벌인 정성훈은 미선을 빼앗아와 노리감으로 만들고, 미선은 가난으로부터 벗어났으나 심한 허탈감에 빠지게 된다. 결국 이 생활에 염증을 느낀 미선은 절에서 공부하는 재민을 찾아가 며칠간의 밀회를 즐기고 어쩔 수 없이 성훈에게 돌아온다. 성훈은 미선이 임신을 하자 자신의 아이로 오해하여 강제로 낙태시키고, 가수로서 미선의 인기를 하루아침에 완전매장 시킨다. 만신창이가 되어 버린 미선은, 예전에 가졌던 허망한 꿈을 뉘우치며 다시 재민에게로 돌아가 그의 품에 안긴다.
1991	11096	가디언	공포, 스릴러	윌리엄 프리드킨	제니 시그로브, 드위어 브라운, 캐리 로웰	필(Phil: 드위어 브라운 분)과 케이트(Kate: 캐리 로웰 분) 부부는 금발의 매력적인 아가씨 카밀라(Camilla: 제니 시그로브 분)를 유모로 고용한다. 호감가는 성격에 아이에 대한 놀랄만한 지식과 상냥함 때문이다. 그러나 그녀는 오래된 나무 정령을 숭배하는 광신도로 어린 아기를 나무에 제물로 바치기 위해 이 집에 들어온 것이다. 카밀라에게 데이트를 신청햇던 닐은 금단의 숲에서 처참하게 살해 당하고, 필과 게이트가 카멜라를 의심하기 시작할 무렵 낯선 전화가 걸려온다. 아이를 유괴당한 어느 주부였다. 필은 카밀라를 추적하다가 금단의 숲에 들어가고, 커다란 나무에 아이들의 모습이 무수히 새겨진 것을 발견한다. 필을 함정에 빠뜨린 카밀라는 아기와 함께 있는 케이트를 추적하여 아기를 제사 희생물로 바치려 한다. 금단의 숲에서 무시뭇한 일이 벌어지고, 케이트는 절대 절명의 위기에 빠진다.
