year,code,title,genre,directors,actors,story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,59056,13 자메티,스릴러,겔라 바브루아니,게오르게 바블루아니,세바스찬(게오르기 바블루아니)은 그루지아에서 프랑스로 이민온 집안 출신으로 집수리를 해주면서 받는 돈으로 어렵게 생활을 꾸려가는 22세의 젊은이다. 어느 날 지붕 수리를 맡게된 집에서 일하면서 우연히 집주인 장 프랑스와에게 보내진 봉투를 받게된다. 봉투안에는 파리행 열차 티켓과 호텔 예약확인서가 들어있고... 우연히 집 주인이 죽어버리자 세바스찬은 그 대신 기차 티켓을 가지고 파리에 가서 지정된 호텔에 묵게된다. 호텔방에서 다음 지시를 받은 세바스찬은 지시를 받은 대로 파리 근교 작은 역으로 가게되고 결국 숲속에 있는 커다란 저택에 도착하게 된다. 저택 내부에는 이상한 분위기가 감돌고 세바스찬은 신변의 위험을 느끼며 이곳에서 도주하려 한다.   하지만 결국 도망치지 못한 그는 어쩔 수 없이 저택에서 벌어지는 기괴한 게임의 선수로 참가하게 된다. 저택 1층의 거대한 홀에서 벌어지는 게임에는 모두 13명의 선수가 참여한다. 그 게임은 총을 가진 선수들이 원형으로 둘러싼채 가운데 있는 전등이 켜지면 일제히 방아쇠를 당기는‘집단 러시안 룰렛’! 게임은 최후의 한 명이 살아남을 때까지 계속되고 최후의 생존자에게는 85만 유로의 상금이 주어진다. 홀의 주변에는 선수들에게 판돈을 건 도박사들이 마른 침을 삼키면서 관객의 역할을 한다. 푼돈이라도 벌 수있지않을까 하는 단순한 생각에서 왔던 세바스찬은 목숨을 건 게임을 시작하게 된다.   영화제 소개글. 집 수리공으로 일하고 있는 세바스찬은 매일 자살을 시도하는 집주인 앞으로 배달된 편지 한 통을 몰래 훔친다. 편지 내용은 정기적으로 열리는 특정한 게임에 참가하면 많은 돈을 벌 수 있다는 것. 가난한 가족을 부양해야 하는 그로선 이 막연한 내용에 귀가 솔깃해져 무작정 게임이 열리는 장소로 찾아간다. 결국 그는 자신의 운명이 파국으로 치닫는다는 것을 전혀 모르는 채 이상할 만큼 철저한 보안 속에서 게임에 참여하게 된다. 마치 누군가의 비참한 현실을 다큐멘터리로 보는 듯한 충격과 생생함이 오랫동안 기억에 남을 작품.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,64995,1408,공포, 스릴러,미카엘 하프스트롬,존 쿠삭, 사무엘 L. 잭슨,어린 딸을 잃은 공포소설 작가 마이크 엔슬린(존 쿠삭 분)은 ‘사후세계’라는 소재에 사로잡혀 있다. 그는 초현실적인 공포를 소설로 쓰는 베스트셀러 작가지만, 눈에 보이는 것 외에는 아무것도 믿지 않는 회의론자이다. 어느 날 그에게 날아온 낯선 엽서 “Don’t enter 1408!” (1408호에 절대 들어가지 마시오).   새로운 작품을 구상 중이던 마이크는 미스터리로 가득한 뉴욕의 돌핀 호텔을 찾는다. 호텔 지배인 제럴드 올린(사무엘 L. 잭슨 분)은 95년간 1408호에 묵은 투숙객들이 1시간을 못 넘기고 죽은 일들을 알려주며 들어가지 말라고 강력히 경고하지만 마이크는 기어코 그 방에 들어선다. 1초 앞을 예상할 수 없는 1408의 무한공격!   보이는 것 외에는 아무것도 믿지 않는 마이크의 눈 앞에서 상상을 초월한 미스터리한 현상들이 벌어지면서 현실과 환상이 넘나 들고 그 방에서 죽은 사람들의 혼령이 나타나 끊임없이 그를 위협한다. 심리적 공포와 맞서던 그에게 초강력 다이나믹한 공포의 공격이 시작되고 극도의 공포감 속에서 마이크는 1408호와의 처절한 사투를 벌인다. 살아남기 위해 주어진 시간은 단 한 시간. 1408호의 정체는 무엇인가? 과연 마이크는 살아남을 수 있을 것인가?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,61103,1번가의 기적,코미디, 드라마,윤제균,임창정, 하지원,재개발의 막중한 임무를 띠고 에쿠스를 끌며 폼 나게 1번가에 나타난 날건달, 필제. ‘천하의 나쁜 노무새끼’가 되어 피도 눈물도 없이 무대뽀로 마을 사람들을 밀어내려 단단히 맘을 먹었건만 도착한 첫날부터 맞닥뜨린 깡따구 센 여자 복서 명란을 비롯하여 예측불허의 마을 사람들로 인해 필제의 계획은 꼬이기 시작한다.   버스보다 발이 빠르고 말보다 주먹이 앞서는 명란은 몸이 불편한 아버지와 동생을 돌보면 서도 아빠에게 자랑스런 딸이 되기 위해 동양 챔피언의 꿈을 다지며 꿋꿋하게 살아간다. 이런 명란과 사사건건 엮이게 된 필제는 재개발은 커녕 명란의 뒤치닥거리 하기에 바쁘다. 엎친 데 덮친 격으로 필제가 하는 짓들이 마냥 신기하기만 한 일동, 이순 남매는 순 수함으로 필제를 제압하고, 그를 두려워하기는 커녕 일까지 시켜먹는 마을사람들로 인해 필제는 동네의 온갖 잡일을 도맡아 하게 된다. 급기야 그는 동네 아이들에게 날건달이 아닌 슈퍼맨으로  통하기에 이르는데…   ‘마을 접수’라는 애초의 목적 달성에서 점점 멀어져만 가는 필제, ‘동양챔피언’의 꿈을 향해 계속 달리는 명란, 그리고 각자의 꿈을 안고 살아가는 ‘1번가’ 사람들. 서로간의 묘한 유대감을 쌓아가면서 나아갈 수도 물러설 수도 없는 이 상황에서, 필제는 과연 임무를 완수할 수 있을 것인가?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,66708,20일 밤, 그리고 비오는 하루,드라마,람 레,나탈리아 오너, 에릭 뉴엔,그는 프랑스령 인도차이나(베트남)에서 태어났으나 자신을 프랑스인으로 여기며 프랑스에 정착해 살고 있다. 그녀는 독일 베를린에서 태어났으나 가족을 잃고 프랑스에서 할머니 손에 자랐다. 할머니의 죽음 이후 갈 곳을 잃은 그녀는 신비한 힘을 간직한 자바 섬으로 떠난다. 그곳에서 자바의 화산에 매료된다. 그녀에게 프랑스는 용서할 수 없는 아버지의 나라이다. 그에게 베트남은 의미가 퇴색해버린 고향이다. 시간이 지나며 두 사람에게 고향의 의미는 더 더욱 희미해진다.   한여름의 어느 날, 아파트를 처분하러 파리에 돌아온 그녀는 위층에 사는 그를 우연히 만난다. 두 사람은 그의 아파트에서 20일 동안 모든 것을 잊은 채 맹목적인 사랑을 나눈다. 각자의 고향에서 도망치던 두 사람은 서로를 통해 고향을 발견하고 어린 시절의 기억을 되살리게 된다. 20일에 걸친 그들의 정열은 프랑스 혁명 기념일의 불꽃과 함께 꿈처럼 사라지고 만다.   그녀는 아파트를 처분하고 동양의 섬 자바로 돌아간다. 그는 그녀를 찾기 위해 자바로 간다. 그녀가 얘기해 주었던 장소들을 돌아다니며 그녀를 찾아 보지만 만나지 못한다. 애틋한 사장의 흔적만이 기억 속에 남아 있을 뿐.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,58072,300,액션, 모험, 드라마, 전쟁,잭 스나이더,제라드 버틀러, 레나 헤디,BC 480년. '크세르크세스' 왕이 이끄는 페르시아 100만 대군이 그리스를 침공한다. 그리스군의 연합이 지연되자 스파르타의 왕 '레오니다스(제라드 버틀러)'는 300명의 스파르타 용사들을 이끌고 '테르모필레 협곡'을 지킨다.   100만 대군과 맞서는 무모한 싸움. 그러나 스파르타의 위대한 용사들은 나라를 위해, 가족을 위해 그리고 자기 자신의 명예를 위해 불가능한 이 전투에 맹렬히 자신들의 모든 것을 건다! 전설이 된 전투, 그들의 용맹함이 마침내 빛을 발한다! 모두들 각오하라!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,65296,4.4.4.,스릴러,롤랑 조페,엘리샤 커스버트, 다니엘 길리스,유명한 배우이자 모델인 제니퍼 트리는 어느날 정체를 알 수 없는 누군가에 의해 납치당한다. 그녀가 눈을 뜬 곳은 어둠이 가득한 지하밀실. 침대 옆에 놓인 작은 TV속에서 몰래 자신을 찍은 화면이 끊임없이 반복되어 끔찍한 공포를 전해준다. 그 곳을 벗어나고자 몸부림치는 그녀에게 열쇠가 던져지고, 그녀는 방 한쪽에 놓여진 4개의 사물함 중 1번이라고 쓰여진 사물함의 문을 열어본다. 그 속에는 납치범이 그녀의 집에서 가져온 옷과 신발이 들어있다. 두려움에 사로잡힌 제니퍼는 모든 상황을 거부하며 탈출을 감행하지만 납치범에 의해 너무도 쉽게 제압당하고 만다.  잠에서 깨어난 제니퍼는 입고 있는 옷이 바뀐 것을 알게 되고 끔찍한 두려움을 느낀다. 서서히 모든 것을 포기해가던 그녀는 한쪽 벽면의 페인트가 갈라진 틈으로 들어오는 작은 빛을 발견하고, 그 반대편에 자신이 갇힌 방과 똑 같은 방이 하나 더 존재함을 알게 된다. 제니퍼는 잠시 놓았던 희망을 가져보려 하지만, 어느덧 그녀에게 마지막 네번째 사물함의 열쇠가 전달되는데...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,68129,8월에 내리는 눈,,윤류해,추상미, 조동혁, 박탐희,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,54088,8월의 크리스마스,드라마, 멜로/로맨스,나가사키 슌이치,야마자키 마사요시, 세키 메구미,아버지로부터 물려 받은 사진관을 경영하는 스즈키 히사토시는 사진관을 찾는 사람들의 행복한 순간을 담으며 조용한 나날을 보내고 있다. 어느 날, 사진관에 초등학교 교사 유키코가 찾아왔다. 그 이후, 유키코는 사진관의 단골손님이 되고 그와의 격 없는 이야기를 즐기게 된다. 하지만 그는 자신이 병에 걸려 살 날이 얼마 남지 않았다는 것을 알고 있다.  아버지, 여동생과 사는 그는 언제나 가족들과 단란한 생활을 보내고 있지만 자신의 병에 대해서는 입을 다물고 있다. 그만큼 그의 고독은 절절하다. 운명을 맞을 날을 담담히 기다리는 그에게 생기 넘치는 유키코와의 생활은 자그마한 기쁨을 주는데....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,63117,9월의 어느 날,드라마,산티아고 아미고레나,줄리엣 비노쉬, 존 터투로,2001년 09월 01일, 영어와 아랍어에 능통하고 사격술의 귀재인 프랑스 비밀요원인 아이린은 한때 프랑스 비밀요원이었지만 스파이로 변신한 엘리엇을 도우라는 지령을 받는다. 엘리엇은 완전히 종적을 감추기 전에 자신의 자식 둘을 마지막으로 만나보기를 소망한다. 파리에서의 조우가 실패하고 아이린은 엘리엇의 친딸 올란도와 아무런 영문도 모르는 그의 미국인 의붓아들 데이빗을 데리고 베니스로 간다.  미스터리한 행적의 엘리엇을 만나러 파리에서 베니스로 가는 그들은 괴팍하고 엉뚱한 싸이코 암살자 윌리엄 파운드에게 쫓기게 된다. 마침내, 아이린은 세계를 경악시킬 정보를 갖고 있는 엘리엇과 국제 금융 네트워크와의 관계를 파악 하게 되고 이들의 만남은 가까워지는데...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,63537,M,미스터리, 멜로/로맨스, 스릴러,이명세,강동원, 이연희, 공효진,화려한 이력과 외모로 큰 인기를 얻고 있는 천재 베스트셀러 소설가 한민우(강동원). 부유하고 매력적인 약혼녀 은혜(공효진)와의 결혼을 앞두고 있는 그의 인생은 완벽해 보인다. 그러나 최근 새롭게 집필을 시작한 소설은 잘 풀리지 않고 잦은 불면에 시달리고 있는데다 어느 날부터인가 어디를 가건, 누군가와 있던, 무엇을 하건 누군가의 시선에서 벗어날 수가 없다.   그러던 어느 날, 그는 마치 꿈을 꾸듯 이끌려 어느 골목길에 자리한 술집, 루팡바의 문을 열게 된다. 그곳에서 그는 보라색 옷을 입은 한 소녀를 만난다. 그녀의 이름은 미미(이연희). 11년 전 헤어진 민우의 첫사랑이자 그를 쫓던 시선의 주인공이다. 한편, 민우의 계속되는 알 수 없는 행동에 은혜는 불안해진다. 그녀는 자신의 한결 같은 사랑과는 달리 그의 시선은 다른 누군가에게 향해져 있음을 직감한다.   풀리지 않는 자신의 소설의 실마리를 찾기 위해, 그리고 까맣게 잊혀졌던 첫사랑의 기억을 되찾기 위해 나선 민우. 무언가에 쫓기면서 민우의 곁을 맴도는 미미. 첫사랑의 기억에 헤매는 민우를 지켜볼 수 밖에 없는 은혜. 그들의 무섭도록 슬프고 아름다운 사랑이야기가 시작된다. 아니요, 난 아무 것도 기억나지 않아요. 그날 하늘이 얼마나 눈부셨는지, 노을은 또 얼마나 아름다웠는지… 나는 오직 당신만 보고 있었으니까…,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,45242,S클리닉,,김영민,진태현, 정예리, 조한나,"다양한 ‘성 고민’을 기발하면서도 유쾌하게 해결해주는 이야기를 다룬 ‘어른용’ 코믹물. 성상담 전문병원 ‘S클리닉’을 배경으로 매화 다른 주제와 주인공들이 등장하는 형식으로 진행된다.   OCN 소개글. 므흣~한 의학시리즈 은 성(性)에 대해 말 못할 고민을 가진 사람들에게 기발하면서도 유쾌한 해결책을 제시해주는 섹시 코미디이다. 다양한 원인과 트라우마에 의해 성적인 문제를가진 사람들이 괴짜 의사 Dr.후의 에서 기상 천외하게 문제를 해결한다. '노출을 즐기는 바바리걸"""," ""고추 공포증이 생긴 격투기 선수"""," ""술만 먹으면 프리 섹스주의자로 변하는 여교사"""," ""추녀만 좋아하는 조폭"" 등 매화 다양한 소재와 캐릭터를 가진 인물들로 재미를 더해갈 예정이다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,11719,가까이서 본 기차,코미디, 드라마, 전쟁,이리 멘젤,바클라프 네카르, 지트카 벤도바, 요세프 소므르,2차 세계대전 말, 독일점령하에 있는 체코의 어느 작은 시골역. 이제 막 연수를 마치고 철도원이 된 22살의 밀로시 흐르마는 부푼 꿈을 안고 역무일을 시작하지만, 이내 차장 마샤의 매력에 홀딱 빠져 오로지 그녀와의 ‘사랑 만들기’에만 골몰하게 된다. 마침 독일의 무기수송열차를 폭파하려는 레지스탕스 활동이 비밀리에 진행되고, 얼떨결에 작전에 참여하게 되는데…   영화제 소개글. 2차대전이 끝나가는 체코. 어느 간이역에서 밀로스는 견습생으로  일하게 된다. 사랑하게 된 여인과 함께 밤을 지낼 기회를 놓친 밀로스는 자살하려 하지만,  동료 후비카가 그를 남자로 만들어 줄 여자 를 소개한다. 통과의례를 거치며 성장한  밀로스는 독일 점령군에 대항하기 위해 목숨을 걸고 기차에 올라  폭발물을 던진다. 보후밀 흐라발의 작품을 원안으로 하여 비극성과 부조리함을 결합한 희비극으로, 이리 멘첼에게 만하임영화제 그랑프리, 아카데미 외국어 영화상 등을 안겨준 현대 체코 영화의 대표작.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,65064,가면,범죄, 스릴러, 미스터리,양윤호,김강우, 김규리, 이수경,10년 전 군대 폭행사건의 가해자 3명이 연쇄 살해된다. 가장 유력한 범인은 당시 피해자였던 이윤서. 그러나 그는 그 어떤 흔적도 찾을 수 없다. 그의 존재여부조차도. 그러던 중 사건을 담당한 조경윤 형사(김강우)는 ‘이윤서’가 용의자로 떠오르자 비밀리에 단독수사를 벌이는데…과연 이윤서, 그의 정체는 무엇일까?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
