year,code,title,genre,directors,actors,story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,52072,10억,모험, 스릴러,조민호,박해일, 박희순, 신민아,수십만의 신청자 중, 인터넷 방송국 주최의 10억 상금 서바이벌 게임쇼에 8명의 참가자가 초대된다. 바다, 사막, 밀림, 강으로 이어지는 육지 속의 무인도, 호주 퍼스(Perth). 마지막 한 명이 살아 남을 때까지 멈출 수 없는 서바이벌 게임쇼가 시작됐다.  그러나 게임쇼 7일 후... 8명의 참가자와 2명의 방송진행자 中 9명은 몰살되고 한 명의 생존자는 기억상실 상태로 호주 경찰에 의해 발견된다. 사막과 밀림을 배경으로 마지막 한 명이 살아 남을 때까지 멈출 수 없었던 미스터리 게임쇼. 그 곳에선 무엇이 일어난 것일까? 왜 그들은 목숨을 건 죽음의 게임쇼를 계속할 수 밖에 없었나?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,52388,12 라운드,액션,레니 할린,존 시나, 에이단 길렌, 애슐리 스콧,어느 날, 대니 피셔(존 시나) 형사 앞으로 걸려온 한 통의 전화! 발신자는 바로 대니의 손에 체포 당했던 악명 높은 테러리스트 마일스(에이단 길렌)! 일년 전, 대니와의 숨막히는 추격전 끝에 예기치 못한 사고로 애인을 잃은 그는 사상 최대 스케일의 복수극을 꾸민다.  복수를 위해 교도소 탈출까지 감행한 지능범 마일스는 대니의 애인 몰리(애슐리 스콧)를 납치하고 그녀의 목숨을 담보로 대니에게 거부할 수 없는 위험천만한 12 라운드 게임을 제안한다. 각 라운드마다 더욱 더 강력해지는 미션과 예측할 수 없는 반전, 통제가 불가능한 상황에서도 12 라운드 미션을 통과하기 위한 ‘대니’의 일생일대의 사투는 계속된다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,52307,13구역: 얼티메이텀,액션,파트릭 알레산드렝,시릴 라파엘리, 데이빗 벨,정부의 철저한 격리로 범죄자들과 타락한 경찰의 공간이 되어버린 13구역. 새로운 정부가 들어섰지만 여전히 법도, 정의도 없는 그 곳을 지배하는 5개의 조직은 각자 자신의 구역을 삶의 터전으로 위험하고 아슬아슬한 관계를 유지한다. 어느 날, 13구역에서 경찰이 무참히 살해당하는 사건이 발생하면서, 분노한 국민들은 13구역을 완전히 없애버리자는 여론으로 들끓고 13구역은 폭동에 휩싸인다. 하지만 유일하게 정의로운 경찰 데미안과 13구역에서 희망을 보며 살아가는 레이토는 본능적으로 그것이 정부의 은밀한 계획임을 눈치채고, 곧바로 그들의 목숨을 노리는 알 수 없는 정부 세력에 의해 쫓기게 된다.  정부도, 경찰도, 그 누구도 믿을 수 없는 상황. 그들은 13구역의 5개 조직과 의기투합, 정부의 음모에 맞서 멈추지 않는 액션 본능을 폭발하는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,49857,13일의 금요일,공포,마커스 니스펠,제러드 파달렉키, 다니엘 파나베이커, 아만다 리게티,달빛이 아름답게 빛나는 크리스탈 호수 캠프장에는 한가지 전설이 있다. 20여 년 전 캠프 요원의 부주의로 한 아이가 익사한 후 그의 엄마가 아들의 복수를 위해 살인을 저지른 것. 그러나 유일한 생존자가 그녀의 목을 베었고 이것을 지켜보는 한 아이가 있었다. 익사한 줄 알았던 아이 제이슨… 그날 이후 크리스탈 캠프장은 폐쇄되고 인적조차 드문 폐허가 되었다. 그러나 밤만 되면 호수를 배회하는 그림자가 목격되고 있다는 것이다.  그리고 20년이 지난 어느 날, 크리스탈 호수로 친구들과 신나게 주말을 즐기러 온 트렌트와 친구들. 근사한 차를 타고 별장에 도착한 들뜬 일행에게 뜻하지 않는 손님이 찾아온다. 6주전 실종된 여동생을 찾는 클레이를 만난 것. 주말 파티를 즐기려는 일행에게 왠지 낯선 방문자가 꺼림직하기만 하다. 그러나 클레이의 동생 역시 크리스탈 호수에서 캠핑 중 실종되었으며 전설로만 여기던 제이슨이 점점 가깝게 다가오는 것을 알게 되는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,53723,19,드라마,장용우,T.O.P, 승리, 허이재,한 소녀의 죽음을 둘러싸고 용의자로 몰린 세 명의 열 아홉 청춘들의 이야기. 그녀가 한강에서 익사체로 발견되는 살인 사건이 발생하고, 그녀를 둘러싼 동갑내기 3명이 용의자로 지목된다. 집에서는 구박덩어리지만 PC방에서 아르바이트를 하며 꿈을 키워나가는 쾌활한 성격의 19살 대학생 `정훈`. 영애가 죽던 마지막 날 함께 있었다는 이유로 용의자로 지목되고, 남부럽지 않은 집안에서 귀하게 자라났지만 자신에게 거는 기대와 믿음이 부담스럽기만 한 소심한 재수생 `민서`는 PC방에서 몰래 `영애`의 모습을 촬영한 것이 알려지며 경찰의 심문을 받는다. 마지막으로 아픈 엄마를 보살피기 위해 미용실에서 보조로 일하는 영애의 고등학교 동창 `은형`까지 살인사건의 유력한 용의자로 지목된다.  영문을 알 수 없는 한 소녀의 죽음과 자신들이 용의자로 몰린 상황에 당황한 그들은 경찰의 심문 조사 중 기회를 틈타 도주에 성공한다. 얼떨결에 함께 도망자의 신세가 된 그들은 경찰의 추적을 피하며, 억울한 누명을 벗기 위해 영애의 죽음을 둘러싼 진실을 찾으려고 애쓴다. 19살이라는 나이만 알 뿐, 이름도 모르는 이들과 함께 생애 첫 낯선 여행을 시작한 세 사람. 처음엔 서로를 의심하지만 시간이 갈수록 각자 다른 고민과 꿈을 갖고 있는 서로에게 마음을 열기 시작하는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,52799,2009 외인구단,,송창수,윤태영, 김민정, 박성민,원작만화 '공포의 외인구단'을 새롭게 각색한 드라마,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,49727,2012,액션, 드라마, 스릴러, SF, 모험,롤랜드 에머리히,존 쿠삭, 아만다 피트, 치웨텔 에지오포,고대 마야 문명에서부터 끊임없이 회자되어 온 인류 멸망. 2012년, 저명한 과학자들은 오랜 연구 끝에 실제로 멸망의 시기가 다가오고 있음을 감지하고 각국 정부에 이 사실을 알린다. 그리고 곧 고대인들의 예언대로 전세계 곳곳에서는 지진, 화산 폭발, 거대한 해일 등 각종 자연 재해들이 발생해 그 누구도 막을 수 없는 최후의 순간이 도래한다. 한편, 이혼 후 가족과 떨어져 살던 소설가 잭슨 커티스(존 쿠삭)는 인류 멸망에 대비해 진행되어 왔던 정부의 비밀 계획을 알아차리고 가족과 함께 살아남기 위한 필사의 사투를 벌이는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,50097,20세기 소년 - 제2장: 마지막 희망,SF, 모험, 드라마,츠츠미 유키히코,카라사와 토시아키, 토요카와 에츠시, 타이라 아이리,‘피의 그믐날’로부터 15년 후인 서기 2015년. 켄지 일당은 인류를 멸망시키려 했던 테러리스트로 여겨지고 있고, 이를 저지한 ‘친구’는 전인류에게 추앙받는다. 어느덧 당당한 고교생으로 성장한 켄지의 조카 칸나는, ‘친구’에 의해 철저히 통제 된 현실을 참을 수가 없다. 결국 칸나는 ‘친구’의 존재에 의문을 품은 반 친구 고이즈미 쿄코와 함께 ‘친구’ 세뇌시설인 ‘친구랜드’로 보내진다. ‘친구랜드’는 반체제 세력을 세뇌하기 위한 국가시설로, 켄지 무리의 어린시절을 완벽하게 재현한 시뮬레이션 공간이었는데... 한편, 비밀기지의 멤버들은 ‘피의 그믐날’ 이후 뿔뿔이 흩어져, ‘친구’에 의해 통제된 세계에 저항하는 외로운 싸움을 계속하고 있었다. 우미호타루 형무소에 감금되었던 오쵸는 탈옥을 감행하고, 요시츠네는 조직을 통솔하여 잠복 중이며, 마루오는 가수 매니저로 생활하며 정체를 숨기고 있다. 몽 또한 독자적인 조사를 통해 ‘신 예언의 서’의 존재를 발견한다. 야마네, 그리고 사다키요, ‘친구’의 정체를 아는 동창들의 어린 시절 기억이 차츰차츰 되살아나고... 미스테리는 점점 더해간다. 도대체 ‘친구’는 누구란 말인가! ‘신 예언의 서’에 기록된 인류의 ‘구원자’는 과연 누구인가!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,49047,24 시티,드라마,지아 장 커,지안빈 첸, 조안 첸, 여려평,영화 제목 ‘24 시티’는 중국 쓰촨성 청두(成都)에 있는 아파트의 이름이다. 원래 이 건물은 1958년 중국의 제1차 5개년 계획경제개발 시대에 국가 주도로 세워진 공장 ‘팩토리 420’이었으나, 냉전이 끝나자 군수산업의 위축으로 공장 운영이 불가능해졌다. 결국 2005년 중국 정부는 ‘팩토리 420’을 폐쇄하고, 이를 재개발하여 ‘24 시티’라는 거대 아파트로 만들었다. 지아 장커는 이 건물의 역사를 찍는다는 것은 중국의 근대를 다루는 것이며, 동시에 중국 사회주의 인민들의 역사를 기록하는 것이라고 생각했다. 그래서 이 영화는 실제로 이 공장에서 일했던 5명의 노동자들의 인터뷰를 담고 있으며, 그와 동시에 삼대에 걸친 세 여자의 이야기가 진행된다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,50829,3xFTM,다큐멘터리,김일란,고종우, 김명진, 한무지,‘여자’라는 몸보다 ‘남자’라는 영혼의 모습을 따라나선 세 성전환남성(FTM) 종우, 무지, 명진. 다큐멘터리 &amp;lt3xFTM&amp;gt은 “엄마 뱃속부터 남자였고, 남자로 보여야 했고, 남자가 되어야 했던” 세 사람의 삶 속으로 깊숙이 들어가 유쾌한 웃음과 따뜻한 감동을 퍼올린다.  태어날 때부터 남자였다는 ‘종우’는 더운 여름이 오기 전에 얼음조끼를 사러 시장에 간다. 뙤약볕 아래 오토바이일을 해야 하는 그에게 가슴 압박붕대로 인한 더위를 식혀줄 얼음조끼는 여름의 필수품이다. 남자들끼리의 우정을 소중히 여기는 터프가이 ‘무지’는 오랫동안 소망해왔던 가슴 절제수술을 마치고 벅찬 기쁨을 감추기 힘들다. 그는 평생 처음으로 웃통을 벗어 던지고 남성으로서의 가슴을 당당히 공개하며 자유를 만끽한다.  보다 나다운 모습으로 살기 위해 성별변경을 감행한 ‘명진’. 주민등록번호 뒷자리가 ‘2’에서 ‘1’로 바뀌어 ‘男子’로 인정받게 되었건만, 대한민국 남성으로서의 삶은 그가 상상했던 것과는 사뭇 다르다. 여중 여고라는 딱지 때문에 다니던 회사에서 짤리고 군대 신검에서 곤란한 상황에 맞닥뜨리기도 하는 등 만만치 않은 일들도 많지만, 그렇다고 힘들어 투덜댈 그가 아니다.  사회의 편견 속에 고단함도 있지만 ‘진정한 나 자신’으로 살아갈 수 있기에 행복하다는 세 청년은 이제 다큐멘터리를 통해 친구와 가족, 보다 많은 대중들에게 설레임 가득한 손을 내밀기로 한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
