year,code,title,genre,directors,actors,story,,,,,,,,,,,,,,,
2013,91689,009 사이보그,애니메이션, 액션, SF,카미야마 켄지,미야노 마모루, 스기야마 노리아키, 요시노 히로유키,한때 세계를 수 많은 위기에서 구한 9명의 전사, 009 사이보그는 세계전쟁이 종결 후 평화를 대가로 활동을 중단 각기 고국으로 귀환했다. 그 중 리더인 009 ‘죠’는 과거의 기억을 봉인 된 채 살아가야만 했다. 그러나 전세계에 초고층타워 연쇄 폭파 테러 사건이 일어나 보이지 않는 충격과 공포에 휩싸이고 세계전쟁 도래의 위기가 닥쳐온다.더 이상 환영 받지 못하는 009 사이보그 멤버들은 과연 무사히 조우할 수 있을까?,,,,,,,,,,
2013,117251,1940: 나치 공습 작전,전쟁, 액션,크리스토퍼 리 도스 산토스,니콜라스 반 더 비즐, 브래드 백하우스,1940년, 제2차세계대전의 승리를 위해 모든 것을 포기하고 영국 공군에 자원한 얼 커크 대위. 그의 지휘 아래 150 전대는 오로지 적들과 싸우고 이겨 살아남는 것을 목표로 임무를 수행해 나간다. 마침내 나치 독일군 한복판에 침투한 이들은 이 참혹한 전쟁을 끝낼 최후의 일격을 준비한다!,,,,,,,,,,,,
2013,96985,1999, 면회,드라마,김태곤,김창환, 심희섭, 안재홍,상원, 승준, 민욱은 고교시절 절친 3인방이었으나, 졸업 후 1년이 지난 지금은 좀 소원한 사이다. 상원만 대학에 가고, 승준은 재수생, 민욱은 군인이 되어 처지가 너무 달라져버렸기 때문이다.그러던 연말 어느 날, 승준과 상원은 집안형편 때문에 자원입대한 친구 민욱을 만나러 강원도 철원으로 떠난다. 우여곡절 끝에 부대에 도착하지만, 승준은 면회시간이 다가오자 자꾸 상원의 눈치만 살핀다. 승준은 민욱의 여자친구 ‘에스더’가 부탁한 이별편지를 민욱에게 전해줘야 했던 것. 결국 둘은 에스더의 편지를 숨기고, 친구 민욱을 위해 몸과 마음과 돈을 바쳐 1박2일을 헌신하기로 결심한다. 그러나 세상물정 모르는 스무 살 세 친구들에게 묘령의 한 여자가 나타나고, 잠자고 있던 그들의 본능이 꿈틀대기 시작하는데…과연, 세 친구들은 본능을 다스리며 면회를 잘 마무리할 수 있을까?,,
2013,90925,2 데이즈 인 뉴욕,코미디, 멜로/로맨스, 드라마,줄리 델피,줄리 델피, 크리스 록,낭만파 파리지앵 마리옹(줄리 델피)과 재기발랄 뉴요커 밍구스(크리스 락)가 만끽하는 '이보다 좋을 수 없는' 뉴욕 로맨스에 난데없이 적신호!귀엽지만 사고뭉치 아빠, 자유로운 영혼의 여동생,여기에 마리옹의 전 남친이나 지금은 여동생의 남친인 통제 불능 마뉘까지…어딘가 심상치 않은 이들의 등장에 마리옹과 밍구스의 로맨스가 뒤흔들리는데...과연, 마리옹의 해피 엔딩의 꿈은 이루어 질 수 있을까?,,,,,,,,,
2013,117464,2013 MBC 가요대제전,,,정준하, 김성주, 노홍철,,,,,,,,,,,,,,
2013,117465,2013 MBC 연기대상,,,이승기, 한지혜,,,,,,,,,,,,,,,
2013,117466,2013 MBC 연예대상,,,김수로, 김구라, 소이현,,,,,,,,,,,,,,
2013,117530,2013 Mnet 아시안 뮤직 어워드,,,,,,,,,,,,,,,,,,,
2013,117460,2013 SBS 가요대전,,,성시경, 희철, 박산다라,,,,,,,,,,,,,,
2013,117462,2013 SBS 연기대상,,,이휘재, 이보영, 김우빈,,,,,,,,,,,,,,
2013,117463,2013 SBS 연예대상,,,신동엽, 김원희, 크리스탈,,,,,,,,,,,,,,
2013,102095,2013 빈필하모닉 여름음악회,,로린 마젤,로린 마젤, 마이클 샤데,빈필하모닉 여름음악회는, 매년 5월 말 여름의 시작을 알리며, 오스트리아 빈의 가장 대표적인 건축물이자 로코코 양식의 최대 걸작이라 불리는 쉔부른 궁전 앞에서 펼쳐집니다. 조명과 별빛이 하나의 장관을 이루며 시민과 관광객 등 10만여 명이 함께 빈필하모닉의 연주를 즐기는 지상 최대의 여름음악회! 올해는 마에스트로 로린 마젤의 지휘로, 바그너와 베르디 탄생 200주년을 맞아 ‘바그너 &amp; 베르디’라는 주제로 공연이 펼쳐지며, 테너 마이클 샤데(Michael Schade)가 솔로이스트로 함께 합니다. 평소 빈필하모닉의 공연을 즐기기 어려웠던 시민들을 대상으로 보다 쉽게 클래식 음악을 즐길 수 있는 문화향유의 기회를 제공하고, 이러한 경험을 바탕으로 클래식 공연을 더 자주 찾을 수 있는 관객층을 형성해 대중과 친밀하게 호흡하는 문화를 구축해 나가고자 하는 빈필하모닉의 철학이 잘 반영된 음악회입니다. 또한 전세계 70개국에서 라이브 중계로 상영되는 이번 여름음악회는 빈필하모닉 신년음악회와 함께 전세계인이 함께 빈필하모닉을 경험할 수 있는 색다른 기회가 될 것입니다.,,,,,,,,,
2013,114858,2013 코이카의 꿈,,사화경, 이응주, 전진수,,전 세계 47개국에서 나눔을 실천하여 활동하고 있는 봉사단원들의 땀, 눈물, 재미, 희망과 감동이 담긴 특집프로그램으로 지난 시즌과는 달리 현지에 파견된 코이카 봉사단원들의 삶을 재조명하고 그들의 꿈과 희망이 담긴 봉사현장을 함께 경험하면서 '코이카의 꿈'의 진정한 의미를 일깨우고, 더 나아가 대한민국의 위상을 드높이는 데 의의를 두고자 합니다. 특히 '2013 코이카의 꿈'은 우리나라 미래를 이끌 창조적인 전문 인재를 양성하는 특성화 고등학교 학생들을 MBC 해외봉사단으로 선정하여, 농업, 요리, 디자인, IT 등 각 분야에 있어 특성화된 재능을 가진 대한민국 청소년들에게 글로벌 현장에서 자신의 재능을 펼치고 해외 봉사에 참여 할 수 있는 기회를 제공하고자 합니다.  열악하고 소외된 환경의 지구촌 가족들과 MBC 해외봉사단이 함께 만들어 내는 <2013 코이카의 꿈>은 우리 모두의 꿈과 희망을 응원합니다!,,,,,
2013,96358,21 앤드 오버,코미디,존 루카스, 스콧 무어,마일즈 텔러, 스카이라 애스틴, 저스틴 전,고등학교 졸업 이후로 소원했던 세 죽마고우. 케이시와 밀러는 21번째 생일을 맞은 제프에게 깜짝 파티를 열어주기 위해 연락도 없이 그의 집을 찾아간다. 제프는 다음날 일생일대의 의대 면접을 앞두고 있지만 밀러의 강요에 못 이겨 두 친구를 따라 나서게 되고, 딱 한 잔만 하겠다는 계획과 달리 완전히 만취해버린다. 케이시와 밀러는 그를 집에 돌려보내기 위해 애쓰지만 그럴수록 일은 점점 꼬여만 가는 데… 과연 제프는 내일 무사히 면접을 치를 수 있을까?,,,,,,,,,,,
