year,code,title,genre,directors,actors,story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,19436,007 북경특급 2,코미디, 액션,주성치, 곡덕소,주성치,옛날 중국에선 황제의 보위를 위해 비밀 훈련을 받은 네 인물을 뽑아 보룡일족이라고 불렀다. 보룡일족 네 사람인 공, 희, 발, 제 네사람 중 공, 희, 제는 무술에 관한한 나라안의 최고 귀재였지만 발만은 무술에는 문외한이다. 원래 지방의 의사였던 발은 머리를 짜내 황제에게 바칠 발명품들을 만들어냈다. 암행어사 마패모양의 자석 방어기구와 황제를 위한 초대형 선풍기가 그것. 그러나 황상은 그를 중히 여기지 않고, 다만 발에게 신분을 숨기고 민심을 살피는 임무를 주는데……,,,,,,,,,,,,,,,,,,,,,,,,
2014,129765,1000 : 최후의 전사들,액션, 모험, 드라마,아칸 사타예브,아실칸 톨예포프, 아얀 우테부르겐,칭기즈칸 제국을 재건하려는 준가 족은 카자흐 민족을 학살하고 폭정을 일삼는다.    가족이 몰살당하고 마을이 불태워지는 것을 목격한 사르타이는 7년 뒤 용맹한 청년으로 장성하여  검술 실력을 갈고 닦으며 복수를 다짐한다. 사르타이는 카자흐의 독립을 위해 뜻을 같이하는 청년들을 모아 '천 명의 전사들 '이라는 결사대를 조직하는 한편, 친구의 질투와 배신, 안타까운 사랑과 희생을 겪으며 강인한 전사로 성장한다.     마침내 준가 족을 몰아내기 위한 결전의 날,   사르타이와 ‘천 명의 전사들’은 3만 명의 준가 족 대군에 맞서 역사적인 아니라카이 전투에 나서는데...,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,120699,100인의 뷰티온,,,,민감하고 까다로운 여자의 뷰티고민.  스토리온이 먼저 체험하고 리뷰한   진짜 뷰티 솔루션을 제시한다!    트렌디한 스토리온의 뷰티토커 100인!   그녀들과 함께 뷰티고민을 나누고,  전문가가 제안하는 뷰티 솔루션을 100인이 미리 체험하고 리뷰 한   생생하고 믿을 수 있는 진짜 뷰티 솔루션이 찾아옵니다.     스토리온 과 함께 꿀피부에 도전하세요!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,134204,100인의 선택 - 최고라면,,,이창민, 정주리, 파비앙,5명의 스타가 일일 셰프가 돼 각 지역의 특산물과 라면을 조합한 '최고의 라면 레시피'를 만드는 프로그램,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,123547,100초 전[戰],,,김진표,다양한 세대의 실력파 보컬리스트들이 자신을 숨긴 채 출연해 그 가수가 갖고 있는 인기, 이미지 등의 차별 없이 오로지 노래로만 대중들의 평가를 받는 가수들의 보컬 전쟁 프로그램,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,115240,10분,드라마,이용승,백종환, 김종구, 정희태,방송사 PD시험을 본 ‘호찬(백종환)’은 결과를 기다리며 곧 지방 이전할 공공기관 ‘한국콘텐츠센터’의 6개월 인턴사원으로 입사한다. 정사원 못지않게 허드렛일은 물론 야근에 부서 주말등산까지 동행하여 성실성을 인정받는다. 어느 날 갑작스런 TO로 직원채용공고가 나자, 부장과 노조지부장의 부추김에 호찬도 응시를 한다. 사무실 직원들은 이미 호찬의 채용을 당연시하고 호찬 역시 그 동안 정리해둔 PD시험준비 자료까지 여자친구에게 넘겨주면서 안정된 직장으로의 입성을 고대한다. 옴~~~마? 그런데 이게 웬일? 빽으로 엉뚱한 여직원이 입사한다. 노조지부장은 노조차원에서 문제 삼겠다며 인수 인계를 말리고, 다른 직원들도 낙하산인 신입에게 비협조적일 줄 알았으나~ 정규직과 비정규직의 차이가 이런 것이었던가! 신입은 놀라운 친화력으로 사무실 분위기를 좌지우지하며 호찬이 한낱 인턴이었음을 뼈저리게 깨닫게 한다. 설상가상 신입은 준비부족으로 부서의 중요한 프리젠테이션을 망쳐놓고 호찬에게 잘못을 돌리고, 이 일로 사무실은 풍비박산이 난다. 갑작스런 신입의 퇴사에 부장은 호찬에게 정규직을 제안하는데… 단 10분 동안 운명을 결정해야 한다!! 슬픈데 완전 웃기고, 남 얘긴데 폭풍공감 되는 바로 당신의 이야기가 지금 시작된다!,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,121071,12년만의 재회 : 달래 된, 장국,드라마,김도형, 윤재원,이소연, 남궁민, 김시후,2002년 월드컵 당시 고3 커플이었던 준수와 장국은 하룻밤 불장난으로 임신이 되고, 그로 인해 풍비박산이 난 두 집안이 12년 만에 다시 재회하게 되는 에피소드를 그린 드라마,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,129791,15소년 표류기:해적섬을 탈출하라,애니메이션, 모험, 가족,나카무라 류타로,마츠모토 리카, 토요사키 아키, 오노 카린,심해 탐사선 아틀란티스호를 제작한 회사의 아들인 부함장 레몬은 친구들과 함께 아빠몰래 아틀란티스호를 타고 시범운행을 하던도중 불의의 사고로 탈출선을 타고 탈출하지만 뜻하지 않게 아무도 모르는 섬으로 표류하게 된다. 그 섬은 전파가 통하지 않는 곳이지만 어떻게든 그 곳을 탈출하려고 갖은 방법을 다 써보지만 허사임을 알게 된다. 한편 한 무리의 해적들도 우연히 같은 곳으로 표류를 하게 되며 먼저 그 섬에 도달한 15소년 일행을 발견하고는 그 섬을 탈출하기 위해 15소년을 이용하고자 공격을 감행한다. 과연 그들은 무사히 그 섬을 빠져나갈 수 있을 것인가…,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,120052,1789 바스티유의 연인들,공연실황, 뮤지컬,정성복,루이 들로르, 카미유 루, 로드 자누와,오랜 기근과 귀족들의 횡포가 극에 달한 1789년 프랑스 파리. 시민들은 사치와 향락에 젖어 나라의 재물을 탕진하는 왕비 ‘마리 앙투아네트’와 절대왕정 ‘루이 16세’에 반기를 든다.   소작농인 아버지의 부당한 죽음에 분노한 ‘로낭’은 복수를 다짐하며 누이 ‘솔렌’과 파리로 향하고, ‘조르주 당통’, ‘카미유 데뮬랭’, ‘로베스피에르’를 만나 평민 혁명가로 거듭난다. 한편, 왕실 가정교사인 ‘올람프’는 왕비의 비밀스런 밀회를 도와주려다 우연히 현장에 있던 로낭을 끌어들이게 된다. 몸에 지닌 유인물이 순찰 중이던 경찰에게 발각되어 철창 신세가 된 로낭.     혁명의 불길이 더욱 거세지는 가운데, 대립되는 진영에 선 젊은 두 영혼은 점점 더 깊은 사랑에 빠지고, 결국 올람프는 로낭을 구하기 위해 바스티유 감옥으로 뛰어드는데…,,,,,,,,,,,,,,,,,,,,,,,
2014,102431,18 : 우리들의 성장 느와르,느와르, 드라마,한윤선,이재응, 차엽, 이익준,영화를 좋아하는 평범한 고등학생 `동도(이재응)`는 같은 반의 소위 `잘 나가는` 친구 `현승`을 만나면서 새로운 무리의 친구들과 어울려 다니게 된다. 영화 속 주인공처럼, 누구나 한 번쯤 꿈꿔온 폼 나는 인생을 살아보려는 동도. 하지만 현실은 영화처럼 멋지지도, 파란만장하지도 않다. 자잘한 오해가 쌓여가는 상황 속에서 친구들의 사이마저 조금씩 어긋나기 시작하고, 동도는 자기도 모르는 새 큰 싸움에 휘말리고 마는데…    2014년 제 19회 팜 비치 국제영화제 초청,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,100026,1월의 두 얼굴,스릴러,호세인 아미니,오스카 아이삭, 커스틴 던스트, 비고 모텐슨,여름의 끝, 아테네에 휴가차 온 체스터와 콜레트. 아테네 신전을 거닐던 그들에게 호감을 느끼며 접근한 여행 가이드 라이달. 아테네에서의 마지막 밤을 즐기려던 부부에게 나타난 낯선 남자를 죽이게 된 체스터는 사건을 은폐시키려 하지만 라이달에게 들키고 만다. 아테네를 빠져 나가기 위해 도움이 절실한 그들에게 라이달은 손을 내밀게 되고,세 사람 사이에 묘한 의심과 긴장감 속에 여행이 시작되는데..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
