year,code,title,genre,directors,actors,story,,,,,,,,,,,,,,,,,,,,
2015,99701,007 스펙터,액션, 모험, 범죄, 스릴러,샘 멘데스,다니엘 크레이그, 레아 세이두, 크리스토프 왈츠,멕시코에서 일어난 폭발 테러 이후 MI6는 영국 정부에 의해 해체 위기에 놓인다.  자신의 과거와 연관된 암호를 추적하던 제임스 본드는 사상 최악의 조직 ‘스펙터’와 자신이 연관되어 있다는 사실을 알게 되고, 궁지에 몰린 MI6조차 그를 포기하면서 절체절명의 위기에 직면하는데…,,,,,,,,,,,,,,
2015,145119,0시의 그녀,드라마,이철민,남태현, 김민지,슈퍼스타를 꿈꾸던 주인공 지단. 우연히 운영을 맡게 된 노래방에서 수상한 알바생 세라를 통해 신비한 경험을 하게 되는데...,,,,,,,,,,,,,,,,,,,
2015,125041,10,000 Km,코미디, 드라마, 멜로/로맨스,카를로스 마르쿠즈-마르셋,나탈리아 테나, 데이비드 베르다거,“지난 몇 달간 우리의 연애는 인터넷 서버에 보관되어 있겠구나.”    바르셀로나 아파트에서 격렬하게 사랑을 나누는 알렉스와 세르기.   이들은 7년간 함께 산 연인으로 어서 빨리 아기를 낳고 싶어 한다.   하지만 알렉스에게 미국 로스앤젤레스에서 1년간 일하라는 제안이 오면서 이 계획은 흔들린다.   알렉스는 사진작가로서 자신의 경력을 이어갈 수 있는 절호의 기회라고 생각하고 세르기의 동의를 얻어 미국행을 결심한다.    1년간의 헤어짐이 시작되고, 바르셀로나와 로스앤젤레스에서 서로의 사랑을 확인할 수 있는 방법은 딱 하나, 하루도 거르지 않는 화상 채팅이다.   그러나 시간이 지날수록 서로의 체온을 직접 느낄 수 없는 기계적인 만남은 점점 공허해지기만 하는데……  과연 이들은 10,000km의 거리에 떨어져서 사랑을 이어갈 수 있을까?,,,,,,,,,,,,,
2015,142111,18초,,소형석, 황성준, 이큰별,이경규, 배성재,SNS 세계에서 살아남는 영상을 만들기 위한 TV스타들과 SNS 스타들의 도전이 시작된다!  과연 최다 조회 수의 영예를 차지한 영상은 무엇이 될 것인가?  시대가 바라보는 것을 같이 바라보는 가장 트렌디한 TV 프로그램, 18초,,,,,,,,,,,,,,,,
2015,143281,1944,전쟁, 액션, 드라마,엘모 누가넨,카스파 벨버그, 마이켄 슈미트, 마르코 레트,제2차 세계대전이 한창이던 1944년, 독일과 소련 사이에 끼어있던 에스토니아 사람들은 조금이라도 더 많은 전력을 확보하고자 하는 두 나라의 힘에 눌려 강제 징병을 당한다. 분명히 한 동포였는데도 불구하고 독일의 ‘무장 친위대’와 소련의 ‘붉은 군단’으로 나뉜 에스토니아 사람들. 총알이 빗발치는 전쟁터에서 ‘카알 토믹’은 자신과 똑 같은 이름을 갖고 있는 ‘카알’과 친구가 되지만 뒤늦게 자신들이 서로 다른 편에 서 있다는 것을 깨닫는다. 서로에게 총을 겨눌 수밖에 없는 적이 된 그들! 역사상 가장 비극적인 전투가 지금 시작된다.,,,,,,,,,,,,,,,
2015,104426,19곰 테드 2,코미디,세스 맥팔레인,마크 월버그, 아만다 사이프리드, 세스 맥팔레인,‘내가 물건이라고?!’  곰생폼사 욕정곰 테드에게 인권(?)을 허하소서!    왕따에게도 왕따 당하던 8살 존(마크 월버그)의 크리스마스 소원으로 살아 움직이게 된 테드(세스 맥팔레인)! 무적의 썬더 버디로 30년 동안 철없고 끈끈한 우정을 이어가던 둘은 테드가 인간이 아니라 물건(?)이라는 법원의 판결로 멘붕에 빠진다. 빡친 테드는 존과 함께 자신의 인권(?)을 입증하기 위해 승률 99.8% 변호사 사만다(아만다 사이프리드)를 찾아가는데……,,,,,,,,,,,,,,,,,,
2015,139045,2015 60분 드라마,,,,MBC의 명작 웰메이드 드라마가 2015년 60분 드라마로 재탄생 된다! 최근에 방영되었던 MBC의 인기드라마 중 높은 시청률과 화제가 되었던 드라마를 엄선하여 선정, 60분으로 압축해서 보는 다이제스트 프로그램,,,,,,,,,,,,,,,,,,,
2015,137683,2015 KBS교육기획 4부작 - 거꾸로 교실의 마법 1,000개의 교실,,,,교실혁신 프로젝트 '거꾸로 교실'의 진행 과정을 기록한 4부작 프로그램,,,,,,,,,,,,,,,,,,,
2015,133355,2015 로드FC,,,서두원,ROAD FC 페더급과 플라이급 챔피언전이 동시에 열린다!  '코리안 핏불' 서두원 VS ROAD FC 페더급 초대 챔피언 최무겸  1차전 명경기를 다시한번! 송민종 VS 크레이지 챔프 조남진의 재대결까지    2/1 (일) 밤 8시  [ROAD FC 021 챔피언스 데이]  수퍼액션 독점 생중계,,,,,,,,,,,,,,,,,,,,
2015,139652,2015 베를린 필하모닉 발트뷔네 콘서트,공연실황,사이먼 래틀,베를린 필하모닉 오케스트라,숲의 무대'라는 의미를 가진 베를린의 발트뷔네는 유럽에서 가장 매혹적인 야외 원형극장 중 하나이며, 매년 베를린 필하모닉의 여름콘서트가 개최되는 곳이다. 전통적으로 한 시즌을 마무리하는 공연인 만큼, 이번 발트뷔네 콘서트에서는 지휘자 사이먼 래틀과 피아니스트 랑랑이 출연하며 해리포터, ET, 벤허와 같은 여러 유명 영화들의 주제곡들로 풍성한 공연을 선보일 예정이다.    ㆍ 지휘: 사이먼 래틀 경 (Sir Simon Rattle)  ㆍ 피아노: 랑랑 (Lang Lang)  ㆍ 연주: 베를린 필하모닉 오케스트라 (Berliner Philharmoniker)     [프로그램]  Edvard Grieg: Piano Concerto in A minor  에드바르드 그리그: 피아노 협주곡 A단조    [Film Music: 영화 음악]  Alfred Newman: 20th Century Fox Fanfare   알프레드 뉴먼: 20세기 폭스 팡파레    Bronislau Kaper: Munity on the Bounty   브로니슬라우 케이퍼: 바운티 호의 반란    David Raksin: Laura   데이빗 랙신: 로라    Jerome Moross: the Big Country   제롬 모로스: 거대한 서부    Scott Bradley: Tom and Jerry   스캇 브래들리: 톰과 제리    Erich Wolfgang Korngold: The Adventures of Robin Hood   에리히 볼프강 코른골트: 로빈 훗의 모험    Miklos Rozsa: Excerpts from the Ben Hur Suite   미클로시 로자: 벤허 삽입곡 일부    John Williams: E.T. the Extra-Terrestrial Main Title and excerpts from Star Wars  존 윌리엄스: E.T. 메인 타이틀과 스타워즈 삽입곡 일부,,,,,,,,,,,,,,,,
