year,code,title,genre,directors,actors,story,,,,,,,,,,,,,
2018,168037,12 솔져스,액션, 드라마, 전쟁,니콜라이 퓰시,크리스 헴스워스, 마이클 섀넌, 마이클 페나,전 세계가 목격한 사상 최악의 테러 발생 15일 후,  '미치(크리스 헴스워스)'는 사랑하는 가족을 뒤로 한 채   비공식 작전 수행을 위한 11명의 최정예 요원들과 함께   탈레반이 점거한 아프가니스탄에 도착한다.     그곳에서 그들을 기다리고 있는 것은 5만 명의 적군과  도저히 승리할 수 없는 불가능한 전쟁뿐이다!    살아남을 확률 0%, 그러나 반드시 성공해야만 하는 작전!,,,,,,,
2018,162876,120BPM,드라마,로빈 캉필로,나우엘 페레즈 비스카야트, 아르노 발로아,1989년 파리, 에이즈의 확산에도 무책임한 정부와 제약 회사에 대항하는  '액트업파리'(ACT UP PARIS)의 활동가들은 오늘을 살기 위해 1분 1초가 절박하다.  새롭게 단체에 가입한 '나톤'(아르노 발노아)은   누구보다도 열정적으로 활동하는 '션'(나우엘 페레즈 비스키야트)과  함께 차가운 시선에 맞서 뜨겁게 사랑하며 투쟁한다.  하지만 이미 에이즈로 고통 받고 있는 '션', 그를 향한 '나톤'의 사랑은 거침없고,  얼마 남지 않은 시간을 연장하기 위해 그들은 다시 거리를 향해 나서는데...    올 봄, 당신의 심장에서 깨어날 단 한편의 걸작  120BPM, 이 사랑의 속도에 심장이 뛴다!,,,,,,,
2018,164150,12피트,스릴러,맷 에스카다리,노라 제인 눈, 알렉산드라 파크,긴 연휴를 앞둔 하루 전, 수영장을 찾은 ‘브리’.  언니 ‘조나’와 함께 수영장 바닥 아래에서   약혼반지를 찾으려 애쓰는 사이,  그만 수영장 덮개가 닫히고 만다.    모두가 나가고 아무도 없는 수영장.  어둠이 깔리고, 점점 차가워져 가는 물속에서  생존을 향한 두 자매의 필사적인 사투가 시작된다!,,,,,,,,,
2018,153297,1991, 봄,다큐멘터리,권경원,강기훈,1987년 승리의 함성이 사그라진 1991년의 봄.  국가의 불의에 저항하던 11명의 청춘들이 스러진다.   국가는 27살 청년 강기훈을 배후로 지목한다.   유서대필과 자살방조라는 사법사상 유일무이한 혐의.  시시한 진실보다 재밌는 거짓이 만개했던 봄, 아무도 울지 못했다.  24년이 흐른 2015년의 봄, 51살 강기훈은 최종 무죄가 된다.  하지만 그에게 남은 건 암세포와 6줄의 기타뿐.  그는 말하기를 멈추고 기타를 잡는다.   못다 핀 꽃들을 위한 애도가 시작된다.,,,,,,,,,,
2018,160985,19금 특별한 정사,멜로/로맨스,닥터 필,써니, 태식,화가인 준식은 누드화를 그리기 위해 모델인 수정을 섭외한다. 수정의 아름다운 몸에 취해 작업에 집중하지 못하는 준식은 잠시 휴식을 갖자고 제안한다. 준식이 잠시 자리를 비운 사이, 캔버스에 그려진 자신의 모습을 발견한 수정은 자신과 다르게 나온 그림에 만족하지 못한다. 수정은 자신 본연의 모습을 봐달라며 준식에게 아주 특별한 경험을 선사하는데…,,,,,,,,,,,
2018,149504,1급기밀,드라마,홍기선,김상경, 김옥빈, 최무성,국방부 군수본부 항공부품구매과 과장으로 부임한 박대익 중령(김상경)에게 어느 날,   공군 전투기 파일럿 강영우 대위가 찾아와 전투기 부품 공급 업체 선정에 대한 의혹을 제기한다.   이에 대익이 부품구매 서류를 확인하던 중 유독 미국의 에어스타 부품만이 공급되고 있음을 발견한다.     한편 강영우 대위가 전투기 추락 사고를 당하고,   이를 조종사 과실로 만들어 사건을 은폐하는 과정을 지켜본 대익은 큰 충격을 받는다.   그리고 은밀한 뒷조사 끝에 차세대 전투기 도입에 관한   에어스타와 연계된 미 펜타곤과 국방부 간에 진행되고 있는 모종의 계약을 알게 된다.     딸에게만큼은 세상에서 가장 바보 같지만 세상에서 제일 용감한 군인으로 남고 싶은 대익은   [PD25시]의 기자 김정숙(김옥빈)과 손잡고 국익이라는 미명으로 군복 뒤에 숨은 도둑들의 만행을 폭로하기로 결심하는 데…     그들이 시작한 전쟁, 절대로 항복하지 않을 것이다!,,,,,,,,
2018,166416,2017 동명이인 프로젝트,,이경원,김승겸, 안소미, 박지수,어느 동네, 두사람의 이야기' 라는 컨셉으로 제작된 옴니버스 시리즈.    동명이인 프로젝트 시즌1  터키쉬 호텔 : 고환이 하나 없는 남자와, 전자발찌를 찬 여자가 신혼첫날밤을 보낸다.  기초반 지수씨 : 물에 뜨는 게 목표인 여자와 가르치기 귀찮아하는 수영강사의 이야기.  궁금한게 있어 : 두 알바생이 쉬는 시간 뒷골목에 앉아 잡담을 한다.  안녕, 내 고단했던 : 헤어진 두 사람이 다른 시간, 같은 공간에 앉아 서로에 대해 이야기한다.  돌멩이가 봤어 : 여자를 집앞에서 기다리던 남자가 여자의 동생으로 보이는 한 꼬마를 만난다.,,,,,,,
2018,137688,2025 지구전쟁: 얼리전스 오브 파워,SF, 액션,마이클 크럼,저스틴 암스트롱, 딜런 알포드, 제럴드 크럼,가까운 미래, 기상 이변으로 초능력자들이 생겨난 세상.  초능력자들은 세상을 지배할 수 있는  강력한 힘의 하드디스크를 찾기 위해 혈안이 된다.  하지만 하드디스크의 행방은 묘연하고,  유일한 단서인 소녀 ‘로라’는 초능력자들의 타겟이 되어 쫓기고 마는데…    사라진 하드디스크를 찾아라!  지구 최후의 전쟁이 시작된다!,,,,,,,,
2018,144504,22,다큐멘터리,궈커,박차순, 린아이란, 리메이진,중국 지역 일본군 ‘위안부’ 피해자 20만 명  2014년 촬영 당시 생존자 단 22명  그 22명의 할머니들이 들려주는 마지막 이야기    그리고…  2018년 8월 현재 중국에 남아 있는 ‘위안부’ 피해자는 단 6명  할머니들 대부분은 90세를 넘겨 삶의 끝자락에 서 있다.,,,,,,,,,,,
2018,152267,22년 후의 고백,스릴러,이리에 유,후지와라 타츠야, 이토 히데아키,다섯 번의 연쇄살인 사건. 나는 좌절하고 말았다.  무능한 경찰은 내가 누군지 짐작조차 하지 못했고  22년의 공소시효는 끝났다.  그래서 결심했다. 사건의 전말을 지금부터 공개하기로-    가르쳐줄까? 나만의 살인법칙!  규칙 1. 가족이나 가까운 사람이 지켜보도록 한다.  규칙 2. 피해자의 뒤에서 목을 조른다.  규칙 3. 목격자는 죽이지 않고 살려둔다.    잔인한 살인 고백을 담은 희대의 베스트셀러 [내가 살인범이다]-  유일하게 살인 법칙을 따르지 않은 5번째 사건,  그 진실을 파헤치는 형사 ‘마키무라’와 최악의 연쇄살인범 ‘소네자키’의   끝을 알 수 없는 마지막 추격이 시작된다!,,,,,,,,,,,
